,H9.96h_001,H9.96h_002,H9.96h_003,H9.96h_004,H9.96h_005,H9.96h_006,H9.96h_007,H9.96h_008,H9.96h_009,H9.96h_010,H9.96h_011,H9.96h_012,H9.96h_013,H9.96h_014,H9.96h_015,H9.96h_016,H9.96h_017,H9.96h_018,H9.96h_019,H9.96h_020,H9.96h_021,H9.96h_022,H9.96h_023,H9.96h_024,H9.96h_025,H9.96h_026,H9.96h_027,H9.96h_028,H9.96h_029,H9.96h_030,H9.96h_031,H9.96h_032,H9.96h_033,H9.96h_034,H9.96h_035,H9.96h_036,H9.96h_037,H9.96h_038,H9.96h_039,H9.96h_040,H9.96h_041,H9.96h_042,H9.96h_043,H9.96h_044,H9.96h_045,H9.96h_046,H9.96h_047,H9.96h_048,H9.96h_049,H9.96h_050,H9.96h_051,H9.96h_052,H9.96h_053,H9.96h_054,H9.96h_055,H9.96h_056,H9.96h_057,H9.96h_058,H9.96h_059,H9.96h_060,H9.96h_061,H9.96h_062,H9.96h_063,H9.96h_064,H9.96h_065,H9.96h_066,H9.96h_067,H9.96h_068,H9.96h_069,H9.96h_070,H9.96h_071,H9.96h_072,H9.96h_073,H9.96h_074,H9.96h_075,H9.96h_077,H9.96h_078,H9.96h_079,H9.96h_080,H9.96h_081,H9.96h_082,H9.96h_083,H9.96h_084,H9.96h_085,H9.96h_086,H9.96h_087,H9.96h_088,H9.96h_089,H9.96h_090,H9.96h_091,H9.96h_092,H9.96h_093,H9.96h_094,H9.96h_095,H9.96h_096,H9.96h_097,H9.96h_098,H9.96h_099,H9.96h_100,H9.96h_101,H9.96h_102,H9.96h_103,H9.96h_104,H9.96h_105,H9.96h_106,H9.96h_107,H9.96h_108,H9.96h_109,H9.96h_110,H9.96h_111,H9.96h_112,H9.96h_113,H9.96h_114,H9.96h_115,H9.96h_116,H9.96h_117,H9.96h_118,H9.96h_119,H9.96h_120,H9.96h_121,H9.96h_122,H9.96h_123,H9.96h_124,H9.96h_125,H9.96h_126,H9.96h_127,H9.96h_128,H9.96h_129,H9.96h_130,H9.96h_131,H9.96h_132,H9.96h_133,H9.96h_134,H9.96h_135,H9.96h_136,H9.96h_137,H9.96h_138,H9.96h_139,H9.96h_140,H9.96h_141,H9.96h_142,H9.96h_143,H9.96h_144,H9.96h_145,H9.96h_146,H9.96h_147,H9.96h_148,H9.96h_149,H9.96h_150,H9.96h_151,H9.96h_152,H9.96h_153,H9.96h_154,H9.96h_155,H9.96h_156,H9.96h_157,H9.96h_158,H9.96h_159,H9.96h_160,H9.96h_161,H9.96h_162,H9.96h_163,H9.96h_164,H9.96h_165,H9.96h_166,H9.96h_167,H9.96h_168,H9.96h_169,H9.96h_170,H9.96h_171,H9.96h_173,H9.96h_174,H9.96h_175,H9.96h_176,H9.96h_177,H9.96h_178,H9.96h_179,H9.96h_180,H9.96h_182,H9.96h_183,H9.96h_184,H9.96h_185,H9.96h_186,H9.96h_187,H9.96h_188,H9.96h_189,H9.96h_190,H9.96h_192
enpp7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ensa,91.17,6.0,107.02,1.0,44.0,43.0,200.0,133.94,189.0,42.99,335.04,2.0,2.0,15.0,67.0,0.0,93.0,79.0,18.0,267.0,75.0,95.0,26.0,6.0,41.0,13.0,136.0,39.0,257.94,55.0,6.0,46.0,8.0,88.0,95.0,1092.03,0.0,204.0,49.0,32.0,29.0,85.01,43.0,567.0,76.98,170.85,134.0,610.99,526.0,1.0,263.0,34.0,26.0,461.97,177.22,8.0,78.0,90.0,29.0,22.0,0.0,343.0,75.0,94.0,22.0,723.0,13.0,1.0,1.0,29.0,6.0,1.0,33.0,0.0,0.0,38.0,168.92,25.0,69.0,76.0,25.0,387.0,729.0,28.0,46.99,171.2,34.0,109.43,7.0,331.0,41.0,47.0,25.0,158.0,63.0,127.0,162.0,67.0,85.0,39.0,10.0,54.0,169.0,39.0,116.0,25.0,93.0,36.0,103.0,66.0,62.0,109.0,51.9,52.0,30.0,97.0,13.0,47.0,13.0,27.0,64.0,69.0,0.0,111.0,3.0,99.0,134.0,27.0,87.0,50.0,237.0,6.0,42.0,269.0,36.0,31.0,46.0,141.0,49.0,25.0,209.0,47.0,15.0,152.0,248.95,76.0,61.0,22.0,101.0,95.0,57.0,3.0,43.0,262.0,57.0,35.0,140.0,150.0,45.0,104.79,87.99,63.0,11.0,6.0,155.0,252.0,108.0,179.0,92.0,101.0,60.0,49.0,211.0,32.0,0.0,19.0,8.0,93.0,37.0,159.0,394.0,43.04,19.0,19.0,22.0,196.0,64.0,8.0
entpd1,950.35,30.6,83.97,45.38,94.52,172.22,68.97,42.19,778.65,146.09,118.55,114.07,315.6,289.52,569.06,61.3,167.29,54.65,247.86,66.92,101.08,66.5,52.27,122.07,55.31,82.36,49.54,79.84,123.5,26.27,126.71,20.53,82.16,130.92,15.81,395.16,108.7,41.15,130.75,78.67,35.44,60.35,61.29,68.28,39.93,95.67,32.3,75.78,66.06,26.31,151.68,455.7,123.15,609.82,49.57,918.41,929.99,496.29,49.31,639.08,887.52,117.93,91.07,61.96,18.83,45.22,51.02,106.2,74.07,730.79,58.31,39.13,32.48,42.53,92.41,61.75,23.9,81.86,172.44,126.1,121.52,284.44,77.86,89.97,99.59,163.4,121.19,331.42,42.22,208.35,231.12,177.66,105.8,114.97,154.41,108.14,68.14,137.79,150.51,80.05,98.83,202.63,132.01,170.77,142.99,81.9,252.24,257.38,129.13,129.64,51.41,88.34,158.32,290.13,55.12,198.77,29.58,54.97,128.97,121.8,56.95,99.96,104.27,98.73,261.86,159.94,125.3,40.53,40.33,131.21,306.84,175.09,61.55,89.06,211.72,84.14,79.54,110.37,51.94,115.31,94.38,115.28,102.34,96.61,105.65,312.63,72.91,60.06,493.36,54.53,58.32,59.11,40.35,150.15,45.95,50.53,190.08,66.6,438.55,412.64,58.02,268.74,61.04,55.76,60.48,547.79,98.18,79.49,448.73,135.83,131.7,431.19,457.38,140.04,1147.1,40.8,111.7,110.82,301.29,41.9,167.46,115.7,14.67,98.06,48.6,57.09,56.97,83.63
entpd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entpd3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,344.01,0.0,0.0,0.0,0.0,1.0,2827.01,477.29,486.0,441.04,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1591.87,0.0,0.0,4.0,99.0,1.0,35.0,2.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1240.42,2.0,1629.61,0.0,1710.99,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,715.94,0.0,0.0,0.0,44.21,0.0,0.0,0.0,0.0,0.0,523.0,0.0,4.0,122.0,5.0,0.0,821.0,0.0,0.0,0.0,0.0,73.0,0.0,90.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,1.0,14.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,13.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,806.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
entpd4,78.62,75.54,23.42,89.06,388.05,378.6,123.46,6.61,200.11,59.37,7.53,633.16,252.01,33.17,31.55,11.99,3.58,21.04,136.18,2.7,6.39,197.97,103.52,50.51,95.71,5.59,0.0,4.76,11.5,303.29,3.07,18.44,21.84,4.41,1.06,16.64,4.3,11.13,0.88,154.14,92.01,1.26,124.91,0.86,282.21,143.77,20.32,0.0,199.6,245.89,380.94,8.59,4.91,3.0,6.4,2.14,22.86,5.28,30.46,68.58,1.12,4.99,5.9,17.19,488.58,10.06,47.44,6.33,213.33,2.99,0.9,1.16,4.13,2.56,184.81,3.04,20.12,1.04,184.75,35.09,169.36,18.52,4.28,33.56,264.58,25.05,149.88,141.08,3.42,253.84,204.45,13.84,102.1,9.71,89.72,174.03,82.61,8.21,46.05,67.07,19.97,87.33,201.28,4.84,136.01,224.84,103.11,174.75,100.99,164.08,62.28,27.18,0.0,61.04,4.0,7.25,62.68,38.32,88.53,6.16,1.11,62.62,3.09,56.7,236.52,116.79,131.38,37.06,27.33,95.67,17.95,2.27,8.73,16.35,21.79,110.01,250.41,3.54,3.91,108.1,22.42,90.5,7.4,5.93,48.84,12.67,18.23,157.21,288.86,34.01,190.98,5.55,26.69,181.17,352.01,28.2,201.15,8.91,3.43,89.76,792.59,76.05,10.72,2.89,108.72,363.49,215.6,0.0,1.59,0.0,123.84,508.03,253.43,8.76,46.61,42.91,33.12,224.03,165.44,2.04,35.93,6.49,0.0,15.43,120.71,3.91,0.0,75.83
entpd5,8.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,40.0,11.0,0.0,0.0,0.0,0.0,0.0,33.99,0.0,0.0,0.0,3.0,0.0,58.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,7.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,3.0,9.0,0.0,0.0,10.0,0.0,8.0,23.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,22.0,0.0,18.0,8.0,0.0,3.0,4.92,70.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,29.0,39.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,88.0,0.0,37.0,140.0,256.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,63.85,4.0,0.0,12.66,0.0,0.0,7.02,0.0
entpd6,8.05,0.0,4.0,0.0,0.0,1.0,0.0,56.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,91.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,285.16,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,36.0,0.0,30.95,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,64.0,54.0,90.0,0.0,8.0,153.0,2.0,10.0,0.0,59.0,65.0,16.0,20.0,111.0,0.0,0.0,0.0,88.0,39.0,0.0,0.0,0.0,2.0,0.0,100.0,62.0,30.0,53.0,15.0,8.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,76.0,1.0,0.0,0.0,37.0,0.0,2.0,3.0,7.0,24.0,7.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,6.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,18.0,3.0,94.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,231.0,0.0,61.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,62.0,0.0,0.0,0.0,0.0,3.0,67.0,0.0,0.0,0.0,1.0
entpd7,19.52,11.73,235.21,7.52,3.5,42.69,33.36,28.03,19.86,273.92,39.86,5.74,136.69,108.44,11.99,313.14,429.92,142.42,148.29,14.74,4.65,2.77,5.27,2.95,6.86,0.0,3.06,1.01,17.86,433.31,387.9,1.98,4.81,3.04,0.73,3.09,4.12,111.23,72.54,2.5,2.27,249.79,26.63,76.07,1.77,8.68,117.03,10.63,3.79,0.89,706.02,0.0,67.96,64.0,2.05,47.98,25.83,3.74,5.56,5.91,1.3,24.65,42.05,9.84,2.0,3.97,1.0,4.65,156.37,10.05,320.71,5.36,0.0,1018.0,401.02,297.41,277.17,180.89,16.47,44.68,110.71,7.88,3.34,12.0,36.84,7.25,8.97,9.19,2.13,15.16,134.26,17.92,14.63,1.64,71.13,56.38,3.12,4.59,2.52,14.86,15.56,5.0,18.7,55.32,12.82,13.34,51.66,21.06,145.02,6.56,2.75,6.94,0.0,113.07,22.41,19.48,2.94,9.0,10.17,9.4,45.64,59.29,27.28,1.76,13.5,131.14,12.46,26.73,1.05,10.38,4.71,3.39,64.01,7.53,5.96,3.53,248.25,59.91,7.49,3.13,4.15,14.58,192.24,55.93,7.88,8.88,28.67,36.08,7.26,20.11,17.29,85.97,68.35,3.76,8.76,1.28,9.71,7.52,7.52,2.05,4.04,407.35,7.86,7.95,4.48,2.55,6.15,0.52,6.42,24.92,205.89,5.54,3.44,2.79,1.28,23.05,5.8,60.42,1.99,3.82,27.45,7.62,2.93,9.86,0.0,17.25,4.77,271.43
entpd8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eny2,173.0,0.0,353.0,82.0,0.0,78.0,229.98,69.0,355.04,70.0,226.0,191.86,324.91,245.01,3.0,181.0,186.0,63.0,97.0,149.0,83.0,44.0,71.0,624.99,318.0,117.0,162.0,46.0,369.96,232.0,276.93,325.0,158.0,0.0,407.41,637.0,203.0,227.0,467.0,151.8,477.01,551.0,69.0,60.0,123.0,282.0,298.86,322.99,129.0,285.0,61.0,1323.9,55.0,22.0,401.0,214.99,1.0,103.0,150.0,117.0,211.99,122.0,629.0,396.0,125.0,178.0,304.0,308.0,174.0,26.0,153.0,389.31,374.99,300.02,192.99,128.0,39.0,157.0,197.01,99.0,677.97,179.0,498.0,44.0,507.0,200.0,192.95,129.0,69.0,262.14,118.0,113.0,199.07,305.99,243.99,159.0,128.0,204.15,237.0,173.0,137.0,162.0,268.0,49.0,309.03,239.0,239.93,304.13,213.0,244.0,551.0,33.0,173.0,0.0,171.0,229.16,65.95,250.4,421.42,85.0,65.0,121.0,372.0,472.99,155.92,123.0,225.0,118.0,189.0,408.0,174.0,82.0,114.0,442.0,320.92,131.0,168.02,12.0,169.0,88.0,161.0,101.94,150.0,126.0,309.0,190.98,106.9,139.0,110.0,215.0,118.0,125.0,145.0,218.0,208.95,492.98,245.93,133.0,234.98,59.0,51.0,100.0,92.0,59.0,170.0,75.0,346.58,132.0,183.0,256.0,429.0,65.0,93.0,105.0,61.0,225.0,118.0,221.02,230.0,222.0,304.99,245.0,18.0,73.0,227.0,364.0,65.0,668.81
eomes,100.99,598.0,530.62,712.96,262.98,501.99,613.0,1230.03,775.86,299.0,314.01,166.0,1159.55,499.12,283.3,725.18,0.0,18.0,682.06,485.21,364.0,544.0,364.0,824.69,565.99,779.07,1030.51,780.34,451.13,962.71,6.0,559.04,376.0,82.0,144.0,846.55,0.0,415.37,639.0,343.0,287.0,654.96,127.0,1085.24,417.08,69.0,451.0,1526.46,1141.24,120.02,843.0,109.05,91.86,1534.98,504.7,3.0,266.0,1601.18,102.0,83.0,82.0,656.09,1349.99,1097.95,772.48,863.52,313.0,100.59,484.0,734.0,752.27,6.0,1138.06,1.0,1160.98,1.0,1372.75,565.0,292.0,447.27,67.0,760.0,773.01,159.0,668.66,56.66,226.0,241.0,88.96,232.0,611.84,0.0,244.0,258.0,60.0,464.0,579.47,435.0,388.0,404.0,962.93,3.0,455.11,224.0,573.01,119.0,150.0,395.0,500.0,337.0,858.42,379.0,15.0,178.0,110.0,144.0,162.76,111.0,4.0,33.0,264.43,258.0,169.0,764.03,300.06,210.0,253.81,297.0,231.0,615.69,1.0,648.05,94.0,48.0,139.0,316.0,232.43,377.0,59.38,225.0,365.97,129.0,24.0,253.99,483.99,240.75,308.0,311.0,247.0,48.0,449.0,0.0,2.0,105.0,176.0,113.0,170.98,0.0,321.0,572.33,992.01,9.0,331.0,92.03,737.0,129.0,325.27,469.22,382.0,234.68,412.99,655.0,163.0,204.0,65.0,999.99,1.0,177.0,325.0,54.0,4.05,276.0,38.0,29.0,587.0,163.0,79.0,750.93
ep300,288.49,253.0,200.88,234.74,22.0,318.0,10.0,44.0,158.12,107.0,173.75,275.88,429.32,23.0,165.0,129.99,90.85,13.23,437.3,13.84,11.0,20.81,1.0,135.66,83.0,201.24,113.01,35.0,4.99,13.1,2.0,36.07,27.0,210.0,33.0,289.53,0.0,58.0,0.0,197.29,222.0,2.0,97.05,395.04,210.01,111.99,136.0,549.44,76.0,19.0,24.0,116.0,0.34,118.0,66.0,3.18,18.0,80.0,73.0,147.0,38.01,164.0,77.5,218.34,191.04,29.0,129.38,185.0,126.0,12.0,65.0,47.01,40.17,22.0,28.02,31.08,0.0,98.99,224.09,72.01,182.72,36.02,200.0,16.09,30.67,17.28,140.0,98.0,14.0,96.88,20.0,237.28,88.93,213.83,160.01,56.82,173.71,51.99,78.04,25.0,125.0,16.0,122.0,13.0,28.79,56.01,50.0,83.43,61.17,26.0,12.0,26.2,108.02,5.96,15.35,56.99,56.0,35.0,9.0,50.01,282.0,64.02,32.0,345.01,23.17,114.01,43.0,11.0,0.0,1.0,35.0,138.0,0.0,21.99,1.0,60.0,92.0,50.0,16.0,81.0,1.0,16.0,43.26,249.34,52.33,12.0,66.0,19.0,92.01,28.0,176.0,27.0,49.03,544.0,60.0,176.28,505.97,82.06,14.88,5.0,27.08,0.0,37.0,0.0,85.0,34.0,103.46,359.0,11.0,23.02,19.02,95.0,79.0,12.0,12.21,80.0,38.03,33.0,19.0,31.34,65.0,0.0,0.0,4.01,16.0,20.0,0.0,180.0
ep400,8.0,24.0,2.0,314.05,0.0,3.0,7.0,58.0,3.0,14.0,4.0,0.0,105.0,6.0,3.0,8.0,673.0,8.0,184.0,38.0,3.0,34.0,82.0,30.0,5.01,101.0,130.0,0.0,261.0,3.0,44.0,131.0,213.99,204.0,126.07,37.0,71.0,13.0,43.0,110.0,94.0,83.0,2.0,148.0,66.0,367.0,149.0,0.0,23.0,4.0,6.0,6.0,1.0,3.0,3.0,1.0,69.0,290.0,29.52,208.0,488.01,72.0,386.13,21.0,266.0,288.0,3.0,180.0,4.01,33.0,133.0,40.0,1.0,1.0,397.0,6.0,0.0,337.0,3.0,6.0,34.0,253.0,228.0,8.0,31.0,12.0,60.0,24.0,7.0,136.0,241.96,16.73,7.0,44.0,89.0,85.0,211.0,14.0,55.0,31.0,62.0,244.0,2.0,69.0,88.0,51.0,49.0,43.99,116.0,77.0,0.0,117.0,0.0,2.0,14.0,69.0,48.73,14.0,1.0,43.0,69.02,59.0,52.68,3.0,3.0,269.0,103.0,44.0,106.51,1.0,14.0,124.0,0.0,0.0,128.0,0.0,8.0,220.0,0.0,58.04,0.0,106.0,107.99,34.0,23.0,0.0,0.0,209.15,0.0,37.0,0.0,12.0,117.0,0.0,0.0,17.0,161.0,286.0,39.0,0.0,6.0,1.0,36.0,0.0,45.0,196.0,145.56,0.0,0.0,9.0,133.0,0.0,0.0,0.0,0.0,32.0,48.0,25.0,0.0,136.9,8.0,66.0,25.0,3.0,38.0,1.0,57.0,5.0
epas1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epb41,16.39,3.75,11.34,7.19,1.22,2.29,4.93,4.01,4.37,0.0,1.52,5.96,12.06,64.65,2.26,0.0,4.04,10.0,272.58,1.82,16.64,1.0,181.0,0.0,0.0,0.0,0.0,239.27,158.07,21.0,0.0,2.15,2.07,5.65,21.33,7.5,8.98,18.43,5.51,247.79,1.84,73.04,0.2,13.31,2.54,74.4,0.0,6.58,37.53,4.72,0.0,3.56,12.66,1.32,6.72,57.87,0.0,0.0,0.0,1.12,41.82,7.03,0.0,9.0,1.68,0.0,1.17,1.71,0.0,0.0,0.02,104.77,46.17,220.96,3.03,292.0,78.91,159.55,64.02,2.53,23.46,11.25,0.0,29.0,0.0,2.54,33.61,7.16,0.0,79.72,15.32,27.28,35.12,8.5,14.53,7.4,2.82,3.13,3.11,4.68,6.3,21.35,23.7,6.7,6.22,1.74,40.31,16.47,2.26,0.0,13.23,4.16,23.84,14.71,95.03,6.62,0.0,20.76,20.77,56.66,196.96,6.54,9.81,0.87,10.28,17.92,12.49,14.18,17.17,3.79,4.68,27.26,2.92,5.59,1.99,2.38,39.23,87.06,5.34,35.36,1.0,22.89,5.58,1.28,2.39,0.0,0.0,9.03,23.83,4.49,26.9,3.24,6.27,0.0,6.23,2.86,224.26,5.86,10.66,42.61,5.01,4.97,6.3,23.26,4.29,5.04,2.89,0.0,3.34,1.45,49.57,3.61,11.57,5.31,30.69,38.98,2.03,57.23,0.0,0.0,30.75,14.32,0.0,118.37,16.0,0.0,111.02,7.04
