TF,Target
165,658
165,382
165,510
165,298
165,36
165,434
165,463
165,319
165,280
165,202
165,513
165,543
165,101
165,122
165,502
165,278
165,145
165,501
165,509
165,173
165,121
165,657
165,150
165,542
165,370
165,18
165,205
165,216
165,276
165,163
165,168
165,345
165,281
165,13
165,381
165,457
165,326
165,143
165,612
165,354
165,339
165,687
165,627
165,637
165,531
165,93
165,549
165,45
165,596
165,258
165,392
165,195
165,441
165,1
165,367
165,423
165,506
165,225
165,575
165,593
165,448
165,61
165,27
165,505
165,480
165,358
165,359
165,160
165,332
165,598
165,62
165,444
165,333
165,577
165,138
165,128
165,196
165,60
165,482
165,114
165,190
165,203
165,536
165,665
165,246
165,655
165,494
165,352
165,32
165,619
165,599
165,390
165,450
165,600
165,257
165,189
165,670
165,315
165,248
165,297
165,92
165,343
165,572
165,249
165,607
165,578
165,20
165,157
165,622
165,152
165,413
165,153
165,325
165,23
165,532
165,683
189,671
189,309
189,186
189,158
189,164
189,498
189,516
189,604
189,382
189,629
189,441
189,150
189,182
189,631
189,518
189,241
189,665
189,176
189,384
189,354
189,261
189,217
189,246
189,132
189,469
189,689
189,489
189,204
189,497
189,327
189,68
189,571
189,640
189,142
189,578
189,170
189,492
189,74
189,363
189,308
189,437
189,450
189,618
189,39
189,445
189,273
189,520
189,274
189,302
189,40
189,11
189,574
189,108
189,561
189,455
189,149
189,438
189,446
189,332
189,299
189,25
189,76
189,472
189,101
189,418
189,102
189,588
189,495
189,420
189,212
189,326
189,311
189,470
189,118
189,60
189,12
189,106
189,160
189,224
189,387
189,616
189,231
189,556
189,172
189,375
189,185
189,479
189,333
189,566
189,297
189,553
189,656
189,517
189,647
189,8
189,316
189,135
189,184
189,530
189,270
189,188
189,69
189,595
189,341
189,676
189,103
189,572
189,96
189,466
189,226
189,286
189,191
189,283
189,248
189,413
189,661
189,681
189,435
189,424
189,393
189,605
189,53
189,621
189,602
189,137
189,567
189,346
189,35
189,165
189,45
189,28
189,245
189,487
189,421
189,139
189,540
189,583
189,558
189,114
189,522
189,105
189,258
189,598
189,361
189,310
189,537
189,52
189,442
189,125
189,649
189,334
189,364
189,351
189,368
189,473
189,265
189,353
189,4
189,268
189,344
189,409
189,54
189,10
189,548
189,282
189,257
189,379
189,50
189,648
189,376
189,279
189,451
189,210
189,508
189,71
189,664
189,667
189,467
189,26
189,519
189,410
189,345
189,373
189,627
189,515
189,576
189,655
189,83
189,511
189,433
189,130
189,358
189,98
189,94
189,444
189,506
189,538
189,174
189,569
189,91
189,107
189,262
189,36
189,460
189,80
189,95
189,383
189,477
189,201
189,239
189,87
189,335
189,48
189,570
189,126
189,131
189,293
189,642
189,33
189,536
189,586
189,221
189,579
189,325
189,104
189,337
189,546
189,112
189,129
189,329
523,255
523,453
523,391
523,513
523,683
523,81
523,246
523,321
523,438
523,423
523,395
523,286
523,508
523,646
523,556
523,498
523,204
523,189
523,124
523,4
523,357
523,530
523,364
523,419
523,325
523,667
523,101
523,36
523,149
523,173
523,257
523,404
523,622
523,309
523,610
523,384
523,335
523,379
523,397
523,367
523,477
523,333
523,221
523,630
523,346
523,153
523,370
523,582
523,626
523,555
523,281
523,118
523,205
523,272
523,86
523,618
523,14
523,455
523,484
523,664
523,385
523,554
523,241
523,157
523,616
523,535
523,269
523,226
523,227
523,261
523,42
523,297
523,425
523,288
523,380
523,296
523,314
523,398
523,186
523,578
523,170
523,412
523,650
523,689
523,516
523,47
523,462
523,199
523,72
523,532
523,206
523,289
523,522
523,8
523,172
523,458
523,483
523,225
523,441
523,580
523,590
523,627
523,175
523,282
523,35
523,540
523,536
523,676
523,135
523,315
523,115
523,54
523,472
523,451
523,669
523,366
523,254
523,382
523,1
523,262
523,89
523,208
523,446
523,604
523,480
523,311
523,496
523,504
523,383
523,629
523,497
523,39
523,634
523,500
523,649
523,196
523,665
523,677
523,11
523,356
523,268
523,466
523,558
523,291
523,214
523,637
523,165
523,561
523,386
523,358
523,600
523,185
523,304
523,138
523,212
523,405
523,84
523,524
523,146
523,494
523,374
523,80
523,501
523,482
523,274
523,440
523,6
523,562
523,210
523,407
523,655
523,342
523,628
523,184
523,97
523,571
523,323
523,543
523,120
523,176
523,478
523,675
523,413
523,92
523,563
523,559
523,163
523,276
523,202
523,152
523,572
523,85
523,448
523,332
523,564
523,111
523,545
523,158
523,195
523,549
523,392
523,596
523,27
523,164
523,132
523,465
523,95
523,450
523,331
523,40
523,211
523,98
523,642
523,671
523,515
523,631
523,605
523,569
523,292
523,475
523,588
523,417
523,100
523,350
523,316
523,359
523,577
523,682
523,495
523,12
523,415
523,245
523,188
523,71
523,330
523,351
523,474
523,473
523,194
523,238
523,248
523,2
523,491
523,640
523,258
523,505
523,387
523,428
523,329
523,56
523,144
523,73
523,106
523,62
523,217
523,203
523,21
523,134
523,641
523,570
523,375
523,129
523,593
523,613
523,625
523,660
523,410
523,581
523,636
523,109
523,123
523,83
523,624
523,179
523,680
523,681
523,273
523,690
523,78
523,534
523,53
523,29
523,148
523,23
523,653
523,377
523,381
523,121
523,514
523,488
523,200
523,230
523,390
523,369
523,48
523,145
523,67
523,518
523,464
523,521
523,68
523,122
523,168
523,568
523,352
523,198
523,589
523,20
523,127
523,647
523,51
523,228
523,3
523,218
523,267
523,66
523,373
523,13
523,463
523,424
523,585
523,403
523,30
523,93
523,294
523,595
523,599
523,433
523,691
523,531
523,476
523,544
523,312
523,551
523,362
523,429
523,174
523,295
523,527
523,469
523,565
523,526
523,64
523,38
523,63
523,117
523,620
523,114
523,666
523,278
523,265
523,31
523,275
523,25
523,552
523,368
523,57
523,553
523,242
523,542
523,141
523,169
523,32
523,280
523,60
523,52
523,136
523,436
523,597
523,222
523,503
523,259
523,61
523,452
523,322
523,107
523,215
523,439
523,611
523,345
523,621
523,167
523,182
523,659
523,510
523,409
523,361
523,327
523,105
523,492
523,5
523,19
523,16
523,190
523,45
523,376
523,606
523,587
523,432
523,431
523,509
523,648
523,298
523,575
523,687
523,612
523,343
523,529
523,232
523,216
523,603
523,33
523,79
523,459
523,355
523,400
523,137
523,340
523,96
523,548
523,592
523,77
523,661
523,233
523,520
523,326
523,546
523,416
523,674
523,219
523,90
523,396
523,656
523,445
523,490
523,240
523,685
523,541
523,244
523,317
523,414
523,260
523,209
523,88
523,310
523,457
523,160
523,271
523,159
523,112
523,236
523,339
523,487
523,82
523,128
523,139
523,468
523,58
523,266
523,119
523,614
523,485
523,686
523,263
523,454
523,293
523,65
523,313
523,224
523,479
523,336
523,372
523,657
523,252
523,147
523,602
523,502
523,191
523,18
523,247
415,241
415,94
415,153
415,671
415,677
415,524
415,532
415,129
415,445
415,254
415,470
415,388
415,618
415,629
415,246
415,398
415,257
415,390
415,12
415,556
415,628
415,455
415,8
415,498
415,14
415,127
415,98
415,333
415,466
415,610
415,151
415,286
415,83
415,170
415,665
415,605
415,651
415,453
415,604
415,36
415,623
415,472
415,565
415,106
415,467
415,642
415,495
415,260
415,690
415,226
415,451
415,420
415,346
415,584
415,191
415,108
415,386
415,121
415,312
381,333
381,206
381,604
381,207
381,241
381,667
381,111
381,664
381,669
381,232
381,302
381,631
381,610
381,270
381,102
381,370
381,255
381,467
381,105
381,1
381,126
381,556
381,334
381,498
381,346
381,617
381,80
381,314
381,45
381,388
381,488
381,222
381,331
381,125
381,513
381,98
381,374
381,295
381,184
381,106
381,21
381,357
381,87
381,248
381,292
381,574
381,656
381,195
381,492
381,629
381,400
381,189
381,682
381,680
381,499
381,286
381,68
381,219
381,247
381,132
381,213
381,618
381,655
381,157
381,39
381,541
381,376
381,130
381,391
381,584
381,251
381,282
381,366
381,462
381,351
381,582
381,168
381,203
381,472
381,259
381,519
381,681
381,524
381,639
381,407
381,563
381,691
381,297
381,326
381,103
381,204
381,478
381,368
381,273
381,577
381,437
381,294
381,287
381,689
381,72
381,409
381,554
381,146
381,221
381,201
381,272
381,258
381,7
381,518
381,676
381,185
381,246
381,152
381,562
381,622
381,279
381,561
381,597
381,325
381,250
381,648
381,92
381,332
381,236
381,460
381,365
381,299
381,375
381,626
381,358
381,373
381,444
381,463
381,580
381,446
381,262
381,595
381,642
381,288
381,148
381,239
381,12
381,625
381,4
381,588
381,441
381,74
381,572
381,275
381,91
381,579
381,418
381,421
381,393
381,254
381,118
381,89
381,690
381,466
381,170
381,404
381,497
381,570
381,390
381,153
381,438
381,509
381,425
381,453
381,484
381,58
381,523
381,450
381,451
381,508
381,659
381,308
381,630
381,429
381,623
381,261
381,454
381,515
381,62
381,649
381,289
381,339
381,315
381,95
381,114
381,309
381,226
381,36
381,686
381,543
381,559
381,78
381,214
381,410
381,142
381,194
381,321
381,485
381,412
381,107
381,491
381,67
381,455
381,654
381,304
381,483
381,500
381,345
381,149
381,489
381,482
381,167
381,616
381,343
381,535
381,8
381,186
381,347
381,516
381,2
381,457
381,364
381,319
381,384
381,398
381,677
381,432
381,337
381,553
381,53
381,216
381,468
381,176
381,97
381,602
381,651
381,613
381,628
381,383
381,403
381,413
381,90
381,181
381,593
381,600
381,458
381,637
381,540
381,123
381,169
381,224
381,278
381,665
381,164
381,84
381,592
381,558
381,536
381,210
381,382
381,445
381,439
381,363
381,469
381,459
381,635
381,380
381,172
381,555
381,590
381,199
381,490
381,660
381,372
381,578
381,265
381,30
381,505
381,271
381,215
381,605
381,671
381,465
381,480
381,128
381,470
381,274
381,564
381,657
381,42
381,208
381,217
381,354
381,61
381,386
381,136
381,514
381,124
381,311
381,122
381,522
381,11
381,606
381,260
381,225
381,548
381,448
381,633
381,81
381,269
381,486
381,69
381,200
381,160
381,447
381,565
381,257
381,428
381,163
381,177
381,474
381,598
381,202
381,14
381,121
381,473
381,356
381,520
381,244
381,420
381,634
381,599
381,173
381,73
381,56
381,227
381,360
381,506
381,86
381,127
381,316
381,205
381,503
381,228
381,546
381,212
381,137
381,620
381,424
381,267
381,296
381,329
381,280
381,240
381,266
381,135
381,312
381,198
381,6
381,532
381,52
381,51
381,456
381,662
381,646
381,494
381,13
381,640
381,475
381,158
381,93
381,35
381,397
381,442
381,182
381,27
381,396
381,544
381,415
381,47
381,83
381,545
381,571
381,369
381,335
381,134
381,145
381,464
381,367
381,581
381,636
381,245
381,552
381,419
381,323
381,568
381,46
381,641
381,190
381,16
381,109
499,214
499,604
499,397
499,289
499,492
499,98
499,137
499,561
499,463
499,270
499,138
499,574
499,438
499,556
499,446
499,309
499,623
499,282
499,162
499,520
499,206
499,382
499,212
499,579
499,585
499,607
499,331
499,583
499,334
499,222
499,321
499,647
499,387
499,661
499,100
499,248
499,470
499,357
499,535
499,40
499,551
499,424
499,298
499,170
499,279
499,384
499,526
499,8
499,441
499,14
499,421
499,425
499,191
499,415
499,634
499,246
499,629
499,302
499,72
499,124
499,503
499,361
499,439
499,275
499,420
499,466
499,164
499,578
499,267
499,19
499,605
499,299
499,194
499,617
499,358
499,676
499,508
499,474
499,118
499,431
499,472
499,494
499,665
499,149
499,53
499,221
499,344
499,462
499,380
499,58
499,125
499,393
499,42
499,39
499,500
499,565
499,442
499,132
499,386
499,618
499,232
499,332
499,410
499,204
499,290
499,486
499,78
499,610
499,621
499,524
499,242
499,682
499,598
499,527
499,346
499,241
499,226
499,111
499,423
499,73
499,580
499,376
499,345
499,21
499,480
499,460
499,300
499,326
499,254
499,509
499,576
499,10
499,489
499,89
499,286
499,640
499,498
499,497
499,327
499,628
499,389
499,523
499,240
499,84
499,653
499,450
499,107
499,74
499,68
499,333
499,586
499,274
499,479
499,198
499,176
499,588
499,135
499,630
499,671
420,189
420,387
420,246
420,206
420,441
420,689
420,536
420,172
420,80
420,107
420,101
420,574
420,125
420,139
420,618
420,278
420,368
420,258
420,463
420,356
420,333
420,498
420,341
420,585
420,191
420,83
420,124
420,286
420,321
420,221
420,293
420,467
420,497
420,332
420,580
420,479
420,400
420,297
420,450
420,473
420,61
420,201
420,433
420,648
420,204
420,132
420,520
420,98
420,637
420,588
420,598
420,4
420,92
420,236
420,676
420,602
420,518
420,370
420,558
420,267
420,393
420,309
420,164
420,595
420,466
420,346
420,103
420,8
420,177
420,181
420,299
420,472
420,532
420,596
420,553
420,86
420,39
420,314
420,354
420,241
420,458
420,665
420,170
420,226
420,45
420,106
420,635
420,535
420,182
420,331
420,10
420,524
420,390
420,337
420,513
420,667
420,384
420,197
420,231
420,203
420,492
420,373
420,683
420,88
420,36
420,33
420,409
420,364
420,647
420,691
420,359
420,262
420,499
420,282
420,89
420,438
420,84
420,95
420,344
420,326
420,470
420,508
420,276
420,325
420,70
420,383
420,302
420,179
420,270
420,386
420,74
420,162
420,437
420,427
420,655
420,646
420,102
420,176
420,656
420,11
420,7
420,582
420,51
420,626
420,52
420,212
420,451
420,91
420,398
420,548
420,456
420,634
420,366
420,686
420,96
420,538
420,121
420,14
420,131
420,308
420,453
420,40
420,537
420,137
420,216
420,500
420,671
420,569
420,265
420,35
420,410
420,112
420,19
420,357
420,283
420,521
420,685
420,627
420,469
420,397
420,586
420,604
420,599
420,27
420,307
420,294
420,351
420,12
420,402
420,17
420,629
420,274
420,81
420,71
420,217
420,388
420,254
420,362
420,358
420,142
420,610
420,464
420,412
420,118
420,642
420,184
420,300
420,487
420,578
420,680
420,134
420,224
420,605
420,342
420,415
420,350
420,347
420,210
420,375
420,352
420,242
420,372
420,105
420,690
420,681
420,561
420,675
420,661
420,489
420,48
420,682
420,158
420,669
420,153
420,339
420,495
420,249
420,157
420,160
420,186
420,571
420,462
420,289
420,228
420,215
420,446
420,376
420,603
420,622
420,526
420,444
420,385
420,104
420,345
420,214
420,108
420,100
420,260
420,664
420,465
420,565
420,259
420,145
420,600
420,47
420,424
420,261
420,522
420,649
420,455
420,439
420,379
420,570
420,62
420,546
420,232
420,245
420,268
420,149
420,240
420,54
420,171
420,510
420,429
420,304
420,407
420,211
420,474
420,219
420,476
420,248
420,68
420,396
420,205
420,223
420,575
420,279
420,67
420,516
420,25
420,519
420,18
420,619
420,198
420,348
420,566
420,597
420,625
420,50
420,129
420,169
420,631
420,650
420,611
420,377
420,511
420,250
420,227
420,515
420,431
420,592
420,442
420,28
420,275
420,76
420,640
420,94
420,363
420,175
420,428
420,361
420,628
420,584
420,530
420,222
420,78
420,568
420,188
420,593
420,55
420,41
420,127
420,126
420,445
420,322
420,93
420,556
420,654
420,413
420,448
420,523
420,97
420,616
420,273
420,621
420,425
420,488
420,674
420,135
420,353
420,506
420,238
420,295
420,185
420,64
420,199
420,421
420,394
420,549
420,639
420,166
420,138
420,44
420,484
420,572
420,579
420,165
420,340
420,85
420,21
420,389
420,435
420,190
420,527
420,417
420,687
420,677
420,316
420,23
420,163
420,239
420,271
420,391
420,490
420,114
420,517
420,504
420,151
420,612
420,174
420,567
420,666
420,503
420,109
420,380
420,577
420,552
420,378
420,589
420,13
420,416
420,452
420,247
420,272
420,6
420,641
420,257
420,653
420,382
420,280
420,606
420,147
420,180
420,662
420,195
420,301
420,583
420,374
420,168
420,334
420,544
420,468
420,194
420,477
420,173
420,540
420,663
420,310
420,130
420,2
420,343
420,235
420,486
420,601
420,53
420,148
420,533
420,43
420,156
420,311
420,534
420,136
420,128
420,79
420,614
420,87
420,49
420,617
420,315
420,501
420,454
420,688
420,613
420,144
420,531
420,200
420,620
420,562
431,385
431,416
431,421
431,231
431,586
431,418
431,400
431,72
431,35
431,162
431,579
431,242
431,26
431,366
431,254
431,441
431,507
431,568
431,463
431,267
431,268
431,189
431,4
431,258
431,70
431,408
431,85
431,351
431,519
431,471
431,530
431,437
431,402
431,424
431,69
431,102
431,574
431,464
431,108
431,467
431,664
431,33
431,398
431,454
431,538
431,142
431,583
431,552
431,435
431,567
431,602
431,450
431,39
431,420
431,219
431,492
431,265
431,246
431,600
431,171
431,489
431,509
431,487
431,323
431,578
431,110
431,634
431,598
431,44
431,200
431,236
431,520
431,125
431,682
431,107
431,223
431,101
431,344
431,315
431,506
431,74
431,16
431,350
431,383
431,342
431,215
431,302
431,309
431,332
431,118
431,647
431,104
431,484
431,361
431,54
431,393
431,455
431,410
431,226
431,148
431,333
431,180
431,109
431,472
431,651
431,139
431,499
431,508
431,448
431,177
431,181
431,126
431,241
431,535
431,630
431,188
431,460
431,326
431,76
431,130
431,629
431,132
431,25
431,170
431,197
431,512
431,422
431,331
431,18
431,79
431,249
431,48
431,184
431,300
431,370
431,498
431,51
431,590
431,363
431,12
431,621
431,625
431,394
431,681
431,540
431,175
431,47
431,582
431,518
431,271
431,546
431,353
431,150
431,279
431,311
431,141
431,297
431,248
431,183
431,325
431,50
431,137
431,468
431,643
431,43
431,497
431,576
431,382
431,470
431,570
431,100
431,631
431,665
431,479
431,347
431,387
431,86
431,523
431,301
431,21
431,360
431,121
464,451
464,567
464,411
382,3
382,69
382,334
382,18
382,395
382,611
382,463
382,10
382,403
382,74
382,460
382,8
382,267
382,198
382,396
382,26
382,326
382,498
382,361
382,270
382,510
382,427
382,219
382,164
382,261
382,130
382,78
382,490
382,467
382,314
382,311
382,167
382,667
382,206
382,208
382,515
382,293
382,386
382,81
382,241
382,410
382,302
382,438
382,424
382,392
382,559
382,492
382,384
382,286
382,108
382,95
382,681
382,598
382,333
382,127
382,248
382,370
382,299
382,31
382,527
382,442
382,100
382,398
382,465
382,162
382,376
382,407
382,98
382,454
382,574
382,665
382,5
382,36
382,102
382,6
382,629
382,518
382,238
382,71
382,519
382,357
382,683
382,466
382,157
382,204
382,650
382,172
382,415
382,214
382,520
382,346
382,1
382,661
382,196
382,604
382,556
382,374
382,561
382,125
382,511
382,321
382,273
382,576
382,430
382,224
382,83
382,553
382,435
382,254
382,383
382,276
382,313
382,487
382,173
382,323
382,177
382,450
382,345
382,174
382,494
382,582
382,513
382,488
382,472
382,484
382,80
382,640
382,526
382,341
382,690
382,250
382,236
382,319
382,676
382,622
382,246
382,625
382,64
382,619
382,45
382,40
382,186
382,602
382,189
382,150
382,218
382,397
382,325
382,180
382,21
382,649
382,205
382,569
382,33
382,483
382,73
382,158
382,524
382,509
382,469
382,584
382,309
382,462
382,421
382,89
382,274
382,199
382,455
382,188
382,477
382,535
382,614
382,14
382,373
382,132
382,91
382,279
382,84
382,388
382,118
382,344
382,343
382,300
382,149
382,226
382,429
382,646
382,35
382,281
382,363
382,260
382,53
382,506
382,137
382,445
382,330
382,485
382,669
382,54
382,671
382,595
382,562
382,200
382,332
382,257
382,497
382,393
382,12
382,185
382,176
382,375
382,628
382,165
382,175
382,451
382,269
382,567
382,184
382,168
382,87
382,437
382,2
382,212
382,70
382,112
382,441
382,221
382,23
382,653
382,634
382,61
382,600
382,101
382,225
382,480
382,499
382,44
382,390
382,631
382,457
382,516
382,585
382,433
382,258
382,354
382,368
382,315
382,207
382,420
382,289
382,271
382,119
382,538
382,546
382,425
382,135
382,654
382,202
382,413
382,106
382,275
382,610
382,616
382,504
382,28
382,449
382,25
382,92
382,583
382,580
382,596
382,473
382,282
382,142
382,680
382,170
382,412
382,508
382,599
382,440
382,536
382,642
382,39
382,400
382,554
382,114
382,534
382,156
382,586
382,280
382,558
382,217
382,377
382,532
382,677
382,42
382,121
382,210
382,428
382,523
382,380
382,613
382,530
382,169
382,245
382,432
382,337
382,409
382,105
382,232
382,571
382,565
382,103
382,366
382,107
382,359
382,247
382,436
382,446
382,292
382,589
382,201
382,339
382,191
382,335
382,369
382,605
382,94
382,249
382,578
382,297
382,222
382,67
382,126
382,418
382,540
382,96
382,182
382,203
382,223
382,329
382,408
382,124
382,572
382,575
382,691
382,272
382,68
382,657
382,62
382,687
382,190
382,406
382,496
382,317
382,447
382,290
382,422
382,439
382,153
382,22
382,72
382,90
382,312
382,405
382,391
382,358
382,458
382,630
382,666
382,464
382,30
382,635
382,541
382,342
382,387
382,117
382,500
382,364
121,68
121,358
121,689
121,629
121,518
121,272
121,314
121,578
121,333
121,40
121,316
121,309
121,681
121,1
121,149
121,446
121,387
121,98
121,297
121,100
121,450
121,631
121,530
121,186
121,375
121,246
121,380
121,616
121,649
121,676
121,383
121,384
121,325
121,153
121,221
121,667
121,582
121,185
121,129
121,526
121,184
121,176
121,466
121,665
121,357
121,441
121,241
121,157
121,332
121,296
121,276
121,158
121,546
121,521
121,106
121,93
121,39
121,379
121,286
121,455
121,96
121,651
121,254
121,386
121,212
121,641
121,14
121,370
121,205
121,268
121,449
121,275
121,498
121,588
121,572
121,261
121,494
121,577
121,562
121,425
121,6
121,214
121,561
121,310
121,262
121,377
121,282
121,413
121,36
121,472
121,21
121,295
121,356
121,522
121,634
121,497
121,289
121,622
121,571
121,294
121,92
121,138
121,554
121,172
121,346
121,536
121,164
121,315
121,274
121,532
121,476
121,388
121,653
121,136
121,118
121,189
121,8
121,600
121,492
121,508
121,650
121,438
121,483
121,613
121,374
121,556
121,304
121,500
121,524
121,626
121,292
121,630
121,42
121,195
121,321
121,515
121,439
121,431
121,84
121,642
121,137
121,558
121,330
121,248
121,260
121,160
121,671
121,45
121,368
121,53
121,646
121,170
121,203
121,83
121,382
121,245
121,145
121,165
121,595
121,519
121,516
121,410
121,627
121,463
121,11
121,23
121,322
121,233
121,74
121,484
121,194
121,564
121,618
121,604
121,491
121,670
121,27
121,206
121,640
121,359
121,637
121,669
121,278
121,397
121,168
121,107
121,544
121,124
121,12
121,392
121,510
121,200
121,680
121,307
121,211
121,135
121,196
121,60
121,81
121,228
121,514
121,465
121,393
121,655
121,605
121,462
121,61
121,412
121,458
121,659
121,342
121,273
121,352
121,57
121,583
121,210
121,602
121,506
121,448
121,628
121,236
121,51
121,269
121,280
121,405
121,603
121,219
121,258
121,109
121,175
121,429
121,504
121,545
121,95
121,73
121,570
121,376
121,638
121,101
121,29
121,227
121,535
121,549
121,596
121,490
121,308
121,281
121,198
121,132
121,553
121,251
121,169
121,398
121,656
121,148
121,385
121,62
121,225
121,599
121,442
121,64
121,354
121,373
121,257
121,505
121,38
121,488
121,482
121,18
121,123
121,677
121,144
121,415
121,82
121,78
121,331
121,364
121,542
121,267
121,326
121,691
121,252
121,52
121,625
121,147
121,2
121,71
121,97
121,230
121,139
121,89
121,469
121,407
121,467
121,127
121,451
121,539
121,103
121,464
121,69
121,423
121,290
121,226
121,541
121,529
121,611
121,323
121,20
121,666
121,552
121,457
121,173
121,47
121,574
121,433
121,152
121,683
121,687
121,420
121,597
121,35
121,128
121,580
121,593
121,288
121,610
121,612
121,414
121,327
121,480
121,538
121,619
121,366
121,347
121,428
121,80
121,592
121,30
121,474
121,436
121,534
121,0
121,247
121,240
121,507
121,329
121,390
121,222
121,548
121,343
121,201
121,513
121,520
121,598
121,445
121,67
121,90
121,134
121,293
121,208
121,473
121,125
121,180
121,291
121,690
121,143
121,403
121,581
121,636
121,341
121,270
121,313
121,620
121,400
121,489
121,70
121,422
121,559
121,568
121,319
121,661
121,654
121,112
121,209
121,635
121,117
121,108
121,664
121,579
121,391
121,369
121,43
121,191
121,682
121,63
121,569
121,427
121,523
121,266
121,459
121,33
121,408
121,585
121,72
121,647
121,302
121,509
121,335
121,199
121,563
121,44
121,477
121,339
121,182
121,662
121,586
121,468
121,3
121,337
121,351
121,279
121,381
121,16
121,607
