Gene1,Gene2
CBFB,VPS41
CBFB,DENND2D
CBFB,JAK3
CBFB,PQLC3
CBFB,TMEM206
CBFB,TYK2
CBFB,SLC44A2
CBFB,SPPL2B
CBFB,CCDC137
CBFB,TXNRD2
CBFB,TLK1
CBFB,CNP
CBFB,CTSO
CBFB,NUP88
CBFB,ANKFY1
CBFB,TMEM109
CBFB,POT1A
CBFB,BTG2
CBFB,PREP
CBFB,GORASP1
CBFB,TOLLIP
CBFB,INPP1
CBFB,2210016F16RIK
CBFB,METTL27
CBFB,GIMAP5
CBFB,EIF4ENIF1
CBFB,TCIRG1
CBFB,HCLS1
CBFB,GANAB
CBFB,TANGO2
CBFB,TIPIN
CBFB,SUN1
CBFB,IARS2
CBFB,TERF2IP
CBFB,G6PDX
CBFB,ERLIN1
CBFB,GNA13
CBFB,ZFP266
CBFB,SEPT8
CBFB,E2F4
CBFB,SERPINB6B
CBFB,TMC6
CBFB,TSPAN33
CBFB,ZFP639
CBFB,TWSG1
CBFB,L2HGDH
CBFB,ELL2
CBFB,GMNN
CBFB,VHL
CBFB,LMO4
CBFB,VPS11
CBFB,GMPR
CBFB,SGPP1
CBFB,TAF1
CBFB,EDC3
CBFB,USP25
CBFB,KDM6A
CBFB,CERS4
CBFB,EPSTI1
CBFB,LTB
CBFB,ZKSCAN17
CBFB,PLXNC1
CBFB,ERCC8
CBFB,CAD
CBFB,MT1
CBFB,CES2G
CBFB,MAN1A
CBFB,NDRG1
CBFB,EPOR
CBFB,RPA1
CBFB,MPL
CBFB,BLVRB
CBFB,MCM2
CBFB,ATAD1
CBFB,DCAF4
CBFB,KLF3
CBFB,ABCF3
CBFB,CYB5R1
CBFB,MYB
CBFB,E2F6
CBFB,ST6GALNAC4
CBFB,CCNB1
CBFB,ZMYM3
CBFB,TPP1
CBFB,KLF6
CBFB,SPHK1
CBFB,FLOT2
CBFB,ATP11C
CBFB,PPM1H
CBFB,TNFAIP8
CBFB,SLA
CBFB,METTL7A1
CBFB,KNSTRN
CBFB,YOD1
CBFB,MCM10
CBFB,ADSSL1
CBFB,TMEM176B
CBFB,TMEM176A
CBFB,CAR1
CBFB,GFI1B
CBFB,EPAS1
CBFB,SALL2
CBFB,GIMAP6
CBFB,TYMS
CBFB,CCNE1
CBFB,CCNB2
CBFB,PWP1
CBFB,ISYNA1
CBFB,MYH10
CBFB,HEXA
CBFB,ITGA6
CBFB,STOM
CBFB,D230025D16RIK
CBFB,XPNPEP1
CBFB,HLF
CBFB,SLC30A6
CBFB,IKZF1
CBFB,JUN
CBFB,MAPKAPK3
CBFB,CLN5
CBFB,MNS1
CBFB,UMPS
CBFB,RDH11
CBFB,AQP9
CBFB,SLC6A6
CBFB,SQOR
CBFB,SELENOP
CBFB,MFSD2B
CBFB,MTFR1
CBFB,NDE1
CBFB,GSR
CBFB,SP100
CBFB,TRIB3
CBFB,TUBGCP5
CBFB,LMNA
CBFB,BID
CBFB,RNASEL
CBFB,FAM91A1
CBFB,PITPNB
CBFB,TBC1D2B
CBFB,UBA3
CBFB,HPN
CBFB,NAMPT
CBFB,LAPTM4B
CBFB,STX12
CBFB,HPCAL1
CBFB,PUS7
CBFB,GIMAP1
CBFB,MFNG
CBFB,TRPS1
CBFB,PDK3
CBFB,UNC93B1
CBFB,CDC6
CBFB,ZFP945
CBFB,PCYT2
CBFB,IARS
CBFB,TMX3
CBFB,UGCG
CBFB,GUSB
CBFB,SPRYD4
CBFB,FTSJ1
CBFB,NFATC2
CBFB,EYA1
CBFB,AP1G2
CBFB,AMPD3
CBFB,CARHSP1
CBFB,SLC29A1
CBFB,GLIPR2
CBFB,GPSM2
CBFB,HELLS
CBFB,FOXO1
CBFB,RUNX2
CBFB,PLBD2
CBFB,PHF10
CBFB,BMI1
CBFB,NOTCH1
CBFB,CORO1A
CBFB,TAPT1
CBFB,PRPS1
CBFB,BAG2
CBFB,PPP2R1B
CBFB,TEAD3
CBFB,EGR1
CBFB,TAF12
CBFB,CCNG1
CBFB,THRB
CBFB,TMEM263
CBFB,MFSD14B
CBFB,IDH3A
CBFB,INPP5B
CBFB,STXBP1
CBFB,PGM1
CBFB,IRF6
CBFB,ELMO1
CBFB,GSTM5
CBFB,LPCAT1
CBFB,TRMT11
CBFB,SLC11A2
CBFB,ANKLE1
CBFB,DCTD
CBFB,GOLM1
CBFB,ZFP930
CBFB,MAP4K2
CBFB,HACD4
CBFB,MFGE8
CBFB,ELOVL1
CBFB,GCNT2
CBFB,TMEM185A
CBFB,KIF22
CBFB,CD82
CBFB,AHR
CBFB,PADI4
CBFB,CTTN
CBFB,EXT2
CBFB,ANXA6
CBFB,CYTIP
CBFB,ZBTB10
CBFB,DDX58
CBFB,PLCB2
CBFB,ETS1
CBFB,SLC40A1
CBFB,SLC25A21
CBFB,NFATC1
CBFB,SLC25A45
CBFB,TMEM56
CBFB,ANKRD27
CBFB,GPKOW
CBFB,ZFP275
CBFB,NAGA
CBFB,FUCA2
CBFB,ST3GAL5
CBFB,ESR1
CBFB,FAM234B
CBFB,KLHL22
CBFB,APBB1
CBFB,NUDT4
CBFB,ATP6AP1
CBFB,SNCA
CBFB,ZEB2
CBFB,ALAD
CBFB,KEL
CBFB,SLC43A3
CBFB,ANGPT1
CBFB,MARCH8
CBFB,ABCG2
CBFB,STX17
CBFB,TK1
CBFB,PLIN2
CBFB,POLA2
CBFB,SLC41A3
CBFB,EMB
CBFB,GRAMD1A
CBFB,CSAD
CBFB,NSDHL
CBFB,SCARB1
CBFB,PCLAF
CBFB,PAK1
CBFB,PEAR1
CBFB,CALCRL
CBFB,RUNX1T1
CBFB,PHACTR2
CBFB,PLA2G12A
CBFB,GBP2
CBFB,H1F0
CBFB,TCN2
CBFB,CD84
CBFB,MYO1G
CBFB,RTP4
CBFB,PRPS2
CBFB,WLS
CBFB,CTLA2B
CBFB,ADD2
CBFB,EBF1
CBFB,IFI204
CBFB,NAPSA
CBFB,MYL10
CBFB,GRN
CBFB,ANK
CBFB,MAN2A2
CBFB,PIK3IP1
CBFB,INKA1
CBFB,RAB32
CBFB,UBL4A
CBFB,IKZF2
CBFB,PRKCQ
CBFB,ST3GAL6
CBFB,RNF213
CBFB,MYC
CBFB,APOE
CBFB,KLHL23
CBFB,PRIM1
CBFB,CITED4
CBFB,TSPO2
CBFB,MNDAL
CBFB,DECR1
CBFB,ASNS
CBFB,IFI203
CBFB,ELF4
CBFB,ABCB10
CBFB,ANXA4
CBFB,ID2
CBFB,TENT5A
CBFB,SMIM1
CBFB,ERMAP
CBFB,EMILIN1
CBFB,TOR3A
CBFB,VDR
CBFB,SNX10
CBFB,ZFP30
CBFB,PPIC
CBFB,PLCG2
CBFB,NXPE2
CBFB,NEURL3
CBFB,RARB
CBFB,SCARF1
CBFB,TLE2
CBFB,GNB4
CBFB,NUPR1
CBFB,SPI1
CBFB,ZFP36
CBFB,PTGS1
CBFB,HSD3B7
CBFB,GNG11
CBFB,IFI30
CBFB,HEBP1
CBFB,CPT1A
CBFB,MEIS1
CBFB,SIGIRR
CBFB,HDAC11
CBFB,MYCT1
CBFB,PLEK
CBFB,MCTP1
CBFB,CD9
CBFB,IRF8
CBFB,SVIP
CBFB,PPARGC1A
CBFB,ANXA1
CBFB,TIFA
CBFB,RNASE6
CBFB,GRINA
CBX7,TMEM56
CBX7,SLC25A21
CBX7,MECOM
CBX7,RUNX1T1
CBX7,SOX18
CBX7,CLCN4
CBX7,CREB5
CBX7,PRKCH
CBX7,SAMD14
CBX7,PLXNC1
CBX7,SATB1
CBX7,EYA2
CBX7,RASSF5
CBX7,IRF5
CBX7,EMILIN2
CBX7,NFIA
CBX7,TIFA
CBX7,TENT5A
CBX7,THRB
CBX7,PPM1H
CBX7,PHACTR2
CBX7,ZFP467
CBX7,TRIB2
CBX7,ATP1B2
CBX7,COL5A1
CBX7,MCTP1
CBX7,VIM
CBX7,PGR
CBX7,ST3GAL6
CBX7,CITED4
CBX7,IKZF1
CBX7,TRIM47
CBX7,RGCC
CBX7,LRRFIP1
CBX7,ZBTB10
CBX7,SGPP1
CBX7,MEF2C
CBX7,SPHK1
CBX7,MYB
CBX7,ZEB2
CBX7,RCSD1
CBX7,MAN1A
CBX7,RORA
CBX7,EPAS1
CBX7,TSC22D3
CBX7,EBF1
CBX7,PIP4K2A
CBX7,HLF
CBX7,SPNS2
CBX7,JUN
CBX7,SLC22A3
CBX7,REL
CBX7,RNF213
CBX7,BMI1
CBX7,ATP2A3
CBX7,NFATC2
CBX7,WLS
CBX7,AP1B1
CBX7,HDAC7
CBX7,RAB31
CBX7,SLC18A2
CBX7,ST8SIA4
CBX7,ABCB4
CBX7,SOX6
CBX7,NDN
CBX7,PEAR1
CBX7,DUSP2
CBX7,RUNX2
CBX7,ANK
CBX7,SMARCA2
CBX7,HPCAL1
CBX7,PQLC1
CBX7,ETS1
CBX7,NDRG1
CBX7,NR3C2
CBX7,IRF8
CBX7,SLC43A1
CBX7,SALL2
CBX7,ANKRD27
CBX7,ATP7B
CBX7,ALG11
CBX7,SGPL1
CBX7,RARB
CBX7,GATM
CBX7,NFATC1
CBX7,VDR
CBX7,NOTCH1
CBX7,E2F6
CBX7,PRDM16
CBX7,FOS
CBX7,LPIN2
CBX7,EYA1
CBX7,ADSSL1
CBX7,PRKCQ
CBX7,KLHL22
CBX7,MT1
CBX7,MFSD1
CBX7,OAT
CBX7,RGS2
CBX7,PRKAR2B
CBX7,USP25
CBX7,PLEC
CBX7,STX17
CBX7,RAB32
CBX7,HSPA4L
CBX7,ACSS1
CBX7,ADD2
CBX7,TNFAIP2
CBX7,AMPD3
CBX7,LRRC8C
CBX7,ENDOD1
CBX7,ANGPT1
CBX7,CD82
CBX7,STARD10
CBX7,MEIS1
CBX7,GYPC
CBX7,RASA3
CBX7,PLPPR3
CBX7,GYG
CBX7,D1ERTD622E
CBX7,ANXA5
CBX7,MAPK12
CBX7,GFI1
CBX7,PLCG2
CBX7,ANXA2
CBX7,CD34
CBX7,SQOR
CBX7,AFAP1L1
CBX7,PBX1
CBX7,TNFAIP8
CBX7,HDAC2
CBX7,GMPR
CBX7,MYC
CBX7,CMPK2
CBX7,SNCA
CBX7,PPIC
CBX7,TSHZ3
CBX7,PTGS1
CBX7,ZYX
CBX7,STEAP3
CBX7,ICA1
CBX7,NSMAF
CBX7,TLE2
CBX7,GATA2
CBX7,OPTN
CBX7,TCF12
CBX7,HIST1H1C
CBX7,TES
CBX7,CTSC
CBX7,KRT18
CBX7,KLHL23
CBX7,FAM234B
CBX7,SLC43A3
CBX7,TMX1
CBX7,DDHD2
CBX7,MT2
CBX7,E2F8
CBX7,FEM1A
CBX7,STXBP1
CBX7,UNC93B1
CBX7,NCEH1
CBX7,ANKLE1
CBX7,CD63
CBX7,ANKFY1
