Gene1	Gene2	EdgeWeight
ALYREF	TP53	0.010333338752388954
TFAP2A	GATA3	0.010330689139664171
HAND1	ZEB2	0.010327142663300036
HAND1	UNC5C	0.010311979800462723
LMX1B	CRX	0.010308830067515371
SOX4	DNMT3A	0.010304710827767849
SP100	SPIB	0.010301074013113977
RAX2	IRF1	0.010286054573953152
SP100	CRX	0.010276922024786472
POU5F1	EPCAM	0.010273165069520472
ZNF471	SPIB	0.010271748527884485
TBX3	BAMBI	0.010256594978272915
IRF1	MLLT6	0.010254866443574429
MLLT6	IRF1	0.010244106873869896
LIN28A	HCFC1	0.01023179292678833
POU5F1	SEMA6A	0.010227255523204805
GATA2	BAMBI	0.010218772105872631
MDM4	ZNF471	0.010213578119874
GATA3	LEF1	0.010206442326307295
HAND2	ACTC1	0.01019012276083231
SOX4	ABCA1	0.010189822874963284
LEF1	GATA3	0.010188923217356205
HOPX	FLI1	0.010176653042435646
LEF1	BAMBI	0.010174895636737348
ID1	GATA3	0.010172989219427107
TAF1L	SPIB	0.010172429494559765
ZNF471	IRF1	0.010162565857172012
NANOG	EPCAM	0.0101577527821064
LEF1	MSX1	0.01015549339354038
DNMT3A	SKIL	0.010149385780096054
SPIB	PPARA	0.010131607763469221
DNMT3A	SOX4	0.010129774920642376
FOXF1	HOXB6	0.010127087123692036
EOMES	MSX1	0.010122643783688543
SPIB	RAX2	0.010116136632859709
DNMT3A	TP53	0.010105937719345093
SLA2	RAX2	0.010102841071784495
MLLT6	CRX	0.01009574718773365
TFAP2A	YBX1	0.010094142518937588
IRF1	SP100	0.010073109529912472
PPARA	ZNF471	0.0100730387493968
MSX1	LEF1	0.010072492063045502
SLA2	IRF1	0.010070132091641426
NPM1	PTMA	0.010066494345664978
SPIB	LMX1B	0.010060835629701614
TFAP2A	CA2	0.010052673518657684
RAX2	SP100	0.010049551725387572
PPARA	SPIB	0.010048325173556805
SP100	ASB4	0.010047722607851028
TP53	CTBP1	0.010044451802968979
TLR7	RAX2	0.010039548389613628
IRF1	RAX2	0.010033753700554373
FLI1	HOPX	0.01003269664943218
CTNNB1	ALYREF	0.01003072690218687
GATA2	LEF1	0.010028198361396791
RAX2	CRX	0.010024177841842176
HOXB6	CDH11	0.010008801706135271
PDGFA	SOX2	0.010003996081650257
UHRF1	MCM4	0.009996588341891766
SOX4	SRSF6	0.009983007796108723
IRF1	REL	0.009977132081985474
SKIL	DNMT3A	0.009969164617359638
PTMA	HCFC1	0.009966573677957058
NANOG	SOX2	0.009965675882995129
BMP4	HAND1	0.009951135143637655
LIN28A	EPCAM	0.009933183901011944
SPIB	MAFF	0.00991909671574831
HNRNPD	LIN28A	0.009912962093949318
SP100	IRF1	0.009911548346281052
CTNNB1	SRSF6	0.009905117563903332
FOXF1	TBX3	0.00990387983620167
SRSF3	SRSF6	0.009901569224894049
SLA2	CRX	0.00989781878888607
LIN28A	PROM1	0.009891319088637829
RAX2	TLR7	0.0098887886852026
TCF7L1	FZD5	0.0098848482593894
HOXB6	BMPER	0.009883531369268894
HAND1	BMP4	0.009882851503789423
GATA2	PITX2	0.009881379082798958
TFAP2A	LIN28A	0.009879416786134243
GATA3	FST	0.009875800460577013
DNMT3A	SRSF6	0.00987241230905056
BMP4	HOXB6	0.009866273030638695
IRF1	LMX1B	0.009863907471299171
PDGFA	TP53	0.009863807819783688
ZEB2	HAND1	0.009863593615591526
VHL	IRF1	0.00985800754278898
TRIM28	KHSRP	0.009856275282800198
NANOG	GRHL2	0.009855581447482107
RAX2	SLA2	0.00985000841319561
XRCC6	EEF1A1	0.009846560657024384
FLI1	HAND2	0.009845688939094543
CRX	MAFF	0.009844048880040646
CRX	TAF1L	0.009843983687460424
ID1	YBX1	0.00984384212642908
HOXB2	HOXB6	0.009842793457210064
HMGA1	HCFC1	0.009839064441621305
CIITA	CRX	0.009835480712354185
SOX4	KHDRBS2	0.009832234121859074
CTNNB1	SFRP1	0.009813628159463406
HOXB6	FOXF1	0.0098108546808362
IRF1	SLA2	0.009800839237868786
HAND2	TLR4	0.009800259955227377
MCM4	MCM7	0.009791928343474863
ZEB2	CDH11	0.009776923805475237
PDGFA	THY1	0.009774562902748585
TLR4	FLI1	0.00976461824029684
UHRF1	MCM6	0.00976389553397894
MAFF	SPIB	0.009760107845067978
PPARA	CRX	0.00975764263421297
SKIL	PDCD4	0.009754924103617668
ID1	POU5F1	0.009754004888236523
HAND1	WNT5A	0.009749621152877808
YBX1	HNRNPD	0.009745070710778236
TAF1L	MLLT6	0.00973920989781618
TLR7	SLA2	0.009738207794725895
MAFF	CRX	0.00972441304475069
BMP4	BMPER	0.0097234807908535
CRX	RAX2	0.009722999297082424
HAND1	PDGFRA	0.009712548926472664
HOXB6	SNAI2	0.009711567312479021
TBX3	SNAI2	0.009699547663331032
IRF1	MAFF	0.009698476642370224
CIITA	IRF1	0.009692617692053318
TLR7	MAFF	0.009687022306025028
MSX1	GATA3	0.009681317955255508
REL	IRF1	0.009675115346908571
CTNNB1	FZD5	0.009665021672844887
SPIB	CIITA	0.00965947937220335
VHL	PPARA	0.009658082388341429
YBX1	TFAP2A	0.009655099362134932
SLA2	SP100	0.009653918445110321
TLR7	SP100	0.009644667617976664
ID1	BAMBI	0.00964317377656698
MSX1	FST	0.009642348624765871
ZNF471	CRX	0.009625954553484915
SOX17	MATN3	0.009625051170587541
POU5F1	TFAP2A	0.009623926132917404
ARID3A	JUND	0.0096218204125762
MAFF	IRF1	0.009614658541977406
HNRNPK	TFAP2A	0.009614035487174988
SOX4	PSIP1	0.009605465456843376
MLLT6	TAF1L	0.009605024941265585
CTNNB1	CTBP1	0.00959447119385004
TFAP2A	MSX1	0.009586777538061142
CRX	SLA2	0.009585404768586159
TLR4	HAND2	0.009581435471773148
CRX	SP100	0.009580019861459732
HOXB6	TBX3	0.0095719862729311
HOXB2	HAND1	0.009556114673614502
SMAD6	TBX3	0.00954994186758995
SOX4	TRIM2	0.009545502252876759
TRIM28	HMGA1	0.00954018533229828
HOXB6	PDGFRA	0.009537702426314354
YBX1	LIN28A	0.00953657925128937
HOXB6	BMP4	0.009534260258078577
SPIB	CBFA2T2	0.009530393406748772
POLR2I	MIF	0.00952730793505907
TAF1L	CRX	0.009520298801362514
YBX1	KHSRP	0.009516015648841858
MAFF	RAX2	0.009504109621047974
CBFA2T2	ZNF471	0.00948597490787506
CIITA	SPIB	0.009484522975981236
HIF3A	CRX	0.009484285488724709
ANKRD1	JUND	0.009483753703534605
ID1	EPCAM	0.009479068219661713
TFAP2A	BMPR1A	0.009478327818214892
HESX1	SIX6	0.009478296153247356
ALYREF	KHSRP	0.009475380182266235
IRF1	CIITA	0.0094647454097867
ASB4	TAF1L	0.009456252679228784
FOXF1	WNT5A	0.00945237837731838
PSIP1	SFRP1	0.009450627490878105
MSX1	BAMBI	0.009448395110666752
SP100	TAF1L	0.009439270012080671
TRIM28	HCFC1	0.009438869543373585
DAB2	FLI1	0.009433416649699213
PPARA	MAFF	0.009432069025933744
MDM4	IRF1	0.009427981451153757
HCFC1	TRIM28	0.009426700882613659
HAND1	HOXB2	0.009421303868293762
GATA2	TBX3	0.009417467750608921
UHRF1	MCM3	0.009415936656296251
CRX	MLLT6	0.009414047934114931
SF1	KHSRP	0.009412402287125587
MLLT6	SLA2	0.009402194991707802
HNRNPK	HNRNPD	0.009397799149155615
SPIB	YAF2	0.009393861517310144
TLR7	ZNF471	0.009393371641635895
CRX	HIF3A	0.00939184706658125
GATA3	EOMES	0.009391212835907936
ZNF587	SPIB	0.009389972314238548
MLLT6	SPIB	0.009379444643855095
KHSRP	TRIM28	0.009373548440635204
HMGA1	CCND1	0.009372515603899956
FLI1	ACTC1	0.009365676902234554
YBX1	HNRNPK	0.009359531104564668
CRX	LMX1B	0.009349131025373936
ZEB2	PITX2	0.009346136823296549
IRF1	VHL	0.009346103295683859
MCM4	MCM3	0.00934512261301279
HNRNPD	ID1	0.009343634359538557
SNAI2	ZEB2	0.009336295537650585
HOPX	TLR4	0.009333078749477863
CTNNB1	ABCA1	0.00932991039007902
HCFC1	POLR2A	0.00932756345719099
TBX3	GATA3	0.009326890110969543
MLLT6	MAFF	0.00932585820555687
SOX4	PDCD4	0.00932198017835617
LIN28A	NANOG	0.00932013988494873
PPARA	VHL	0.009319880045950413
PPARA	TLR7	0.0093168243765831
HNRNPK	HCFC1	0.009314456954598429
GATA3	TFAP2A	0.009314079768955708
HNRNPD	SFPQ	0.00931314192712307
GRHL2	EPCAM	0.009308536536991594
IRF1	FOXK1	0.009304030798375608
PITX2	ZEB2	0.009300227276980877
LMX1B	ZNF471	0.009296998381614685
LIN28A	GRHL2	0.00929598044604063
MCM3	UHRF1	0.00928942020982504
PTMA	MCM4	0.00927727110683918
HNRNPK	BMPR1A	0.009259958751499651
SP100	SLA2	0.009259284473955631
CHAF1A	UHRF1	0.009254657663404942
CCND1	KHSRP	0.009252001531422138
HAND1	SRC	0.00924956426024437
ZNF585B	SP100	0.009243702515959741
POU5F1	ESRP1	0.009243423119187357
TBX3	WNT5A	0.009241621010005474
GRHL2	SOX4	0.00923954974859953
CIITA	MAFF	0.009238229133188723
YBX1	ID1	0.009234284982085228
HNRNPK	SRSF1	0.00922904722392559
LEF1	TBX3	0.0092257522046566
ID1	BMPR1A	0.009223303757607935
LIN28A	SFRP1	0.009222597815096378
CRX	PPARA	0.009215348400175571
TLE3	WNT5A	0.009214447811245918
IRF1	MDM4	0.009207651019096376
ZNF585B	ZNF471	0.009206783957779408
ASB4	ZNF471	0.009202752262353895
MDM4	SP100	0.009199751541018486
VHL	SPIB	0.0091990539804101
HCFC1	PTMA	0.009195555001497269
SLA2	TLR7	0.009195222519338131
SPIB	ZNF587	0.009193978272378443
LEF1	HAND1	0.00919165275990963
MIF	POLR2I	0.009190736338496208
LIN28A	POU5F1	0.009190189652144907
SOX4	CTBP1	0.009186225943267344
MAFF	TLR7	0.009181086905300615
LMO2	FLI1	0.009174655191600323
PITX2	BAMBI	0.009173703379929066
SPIB	HIF3A	0.009170343168079851
SNAI2	TBX3	0.009169931523501871
HNRNPD	KHSRP	0.009167558513581751
RAX2	TAF1L	0.009162776172161102
CIITA	LMX1B	0.00916243623942137
HIF3A	SPIB	0.00915431510657072
YAF2	SPIB	0.00915364921092987
FOXF1	BMPER	0.009152093902230264
POLR2A	KHSRP	0.009151802398264408
HNRNPK	ID1	0.009151332080364227
NANOG	PROM1	0.009145953692495823
TBX3	SNAI1	0.009144541807472706
HNRNPD	ODC1	0.009144047275185585
MLLT3	RSPO3	0.0091424360871315
LIN28A	ESRP1	0.009141730144619942
JUND	ANKRD1	0.00913984328508377
CIITA	TAF1L	0.009139080531895159
VHL	CRX	0.009137767367064951
MLLT3	ACTC1	0.009132828563451769
ZNF587	ZNF471	0.009132210165262222
PTMA	SSB	0.009129277430474758
SP100	RAX2	0.00911647267639637
CRX	CIITA	0.009111274965107441
CTBP1	CTNNB1	0.009110462851822376
TP53	SKIL	0.0091089503839612
POU5F1	BMPR1A	0.009104760363698006
GATA3	SNAI1	0.009104718454182148
MCM7	MCM4	0.00910348445177078
MIF	SNRPB	0.009090065956115723
PTMA	DEK	0.009087732993066313
MLLT6	LMX1B	0.009087203070521356
TLR4	HOPX	0.009086746722459791
TLR7	PPARA	0.009083331562578678
STAT2	PPARA	0.009078771807253359
KHSRP	POLR2A	0.009073394350707531
MCM6	UHRF1	0.009072452783584595
FLI1	LMO2	0.009071010164916515
BMPR1A	ID1	0.009068025276064873
LIN28A	HMGA1	0.009067906066775322
RAX2	ZNF471	0.009062865749001505
MLLT6	CIITA	0.009058825671672821
GATA3	CA2	0.009053798392415048
NANOG	SEMA6A	0.009048917330801487
FLI1	DAB2	0.009046527557075024
NANOG	LIN28A	0.009046449325978756
KHDRBS2	SOX4	0.009045681916177271
FLI1	TLR4	0.009039660915732384
NANOG	ITGA6	0.009025481529533865
SOX2	ITGA6	0.009020033292472364
CBFA2T2	SPIB	0.009017433039844036
KHSRP	YBX1	0.00901440531015396
GRHL2	LIN28A	0.009014199487864971
ASB4	SPIB	0.009012334980070593
GRHL2	GCA	0.009011554531753063
ID1	PROM1	0.009011158719658852
EOMES	GATA3	0.009006040170788765
LIN28A	SEMA6A	0.009003199636936188
SMAD6	MSX1	0.008998638950288296
BMP4	FOXF1	0.008996655233204365
SNAI2	FOXF1	0.008993287570774555
GATA3	GATA2	0.008992920629680157
BMPR1A	TFAP2A	0.008988171815872192
LMX1B	TLR7	0.008980418555438519
HNRNPAB	KHSRP	0.0089738629758358
RAX2	PPARA	0.008971321396529675
GATA3	HOXB6	0.008967338129878044
BMP4	WNT5A	0.008966036140918732
GRHL2	SFRP1	0.008965102955698967
HIF3A	IRF1	0.008960885927081108
SMAD6	GATA3	0.008957193233072758
CBX3	CTNNB1	0.008955699391663073
GRHL2	TP53	0.008941831067204475
HAND1	BMP2	0.008940405212342739
SNAI1	TBX3	0.008934556506574154
SRSF3	SSB	0.00893408339470625
ILF2	ENO1	0.00893343333154917
ID1	HNRNPD	0.00892487820237875
CBFA2T2	CRX	0.008922727778553963
SLA2	CBFA2T2	0.008920538239181042
TAF1L	RAX2	0.008916974999010563
PSIP1	FZD5	0.008915134705603123
SF1	TRIM28	0.008907490409910679
HCFC1	HMGA1	0.008906134404242039
RBBP4	SFRP1	0.008903820998966694
LIN28A	TRIM28	0.008901108987629414
EEF1A1	XRCC6	0.008897391147911549
LIN28A	BMPR1A	0.008897124789655209
LMX1B	TAF1L	0.008896514773368834
SRC	HAND1	0.008895477280020714
SOX2	SFRP1	0.00889108143746853
SRSF3	SRSF2	0.008885600604116917
ZEB2	GATA2	0.008880970068275928
PRDM1	S1PR3	0.008880666457116604
ZEB2	SNAI2	0.008873879909515379
SRSF6	DNMT3A	0.008870755322277546
RFXANK	EEF1A1	0.008869520388543606
PPARA	TAF1L	0.008866820484399796
PTMA	CCND1	0.008865039795637129
APEX1	XRCC6	0.008864958770573141
SOX2	FZD5	0.008862460032105446
HAND2	HOPX	0.008859561756253242
TFAP2A	SMAD6	0.008858656510710716
SMAD6	KHSRP	0.008856331929564476
MCM5	MCM4	0.008855673484504223
HNRNPD	HCFC1	0.008850783109664917
SPIB	MLLT6	0.008839476853609085
PPARA	STAT2	0.008836179040372372
YAF2	TAF1L	0.00883466750383377
ID1	POLR2I	0.008833590894937515
SF1	HMGA1	0.008832979016005993
TLR7	LMX1B	0.008832878433167934
TBX3	CDH11	0.008832559920847416
PPARA	MLLT6	0.008832036517560482
LMX1B	CIITA	0.008830108679831028
HNRNPK	HNRNPAB	0.008825507946312428
POU5F1	LIN28A	0.00882455427199602
KHSRP	LIN28A	0.008824423886835575
SNRPB	MIF	0.008823722600936891
PDGFA	CTNNB1	0.008822135627269745
ID1	FUS	0.00882081501185894
KHSRP	SMAD6	0.00881847273558378
TRIM28	ILF3	0.00881433580070734
TBX3	PITX2	0.008813148364424706
YAF2	IRF1	0.008808618411421776
ZNF471	MDM4	0.008806879632174969
EOMES	GATA6	0.008802472613751888
SRSF6	CTNNB1	0.008799197152256966
TAF1L	SLA2	0.008799091912806034
CENPK	NCAPG	0.008798809722065927
PDGFA	GPC3	0.008797223679721355
TFAP2A	ACTC1	0.008796466514468193
ID1	ODC1	0.008794266730546951
CBFA2T2	IRF1	0.00879109837114811
MAFF	PPARA	0.008789800107479095
PDGFA	SFRP1	0.008783620782196522
MLLT6	HIF3A	0.008782497607171534
LIN28A	ARID3A	0.00877561140805483
ALYREF	EWSR1	0.00877488497644663
HMGA1	POLR2A	0.00877452176064253
HAND1	GATA2	0.008772637695074081
CHAF1A	RBBP8	0.008766493760049343
SF1	YBX1	0.00876642670482397
GRHL2	SOX2	0.00876103900372982
TAF1L	LMX1B	0.008758064359426498
KHDRBS2	FZD5	0.008754161186516285
IRF1	HIF3A	0.008744879625737667
GATA2	HAND1	0.0087413489818573
LMX1B	MLLT6	0.008738216944038868
LMX1B	SLA2	0.008736327290534973
MLLT6	PPARA	0.008732318878173828
GRHL2	ITGA6	0.00873215589672327
POU5F1	ZNF589	0.008724809624254705
GRHL2	PDGFA	0.008724689483642578
YBX1	LEF1	0.008724289946258068
TAF1L	SP100	0.008721482940018177
PSIP1	SOX4	0.00872078537940979
CIITA	HIF3A	0.008718126453459263
FOXF1	CDH11	0.00871768221259117
IRF1	YAF2	0.008712775073945522
HNRNPK	CBX3	0.008711990900337696
HOXB6	HOXB2	0.008711069822311401
PTMA	TRIM28	0.008707873523235321
PDGFA	POU3F1	0.008707300759851933
ZNF471	ASB4	0.008702747523784637
LIN28A	SFPQ	0.008695028722286223
PITX2	TBX3	0.008693434298038483
PITX2	GATA2	0.00868574995547533
SRSF2	SRSF3	0.00868450291454792
TBX3	BMP2	0.008682535029947758
HNRNPD	HNRNPK	0.008681776002049446
SRSF3	NPM1	0.008672262541949749
TBX3	GATA2	0.0086683863773942
PPARA	CIITA	0.008667359128594398
ASB4	CBFA2T2	0.008665699511766434
GATA3	PITX2	0.008664296939969063
PPARA	RAX2	0.008654739707708359
MAFF	CIITA	0.008653545752167702
SNAI1	WNT5A	0.00865095481276512
CIITA	MLLT6	0.008650065399706364
KHSRP	CCND1	0.008641914464533329
ASB4	TLR7	0.008640990592539309
CBFA2T2	SLA2	0.008637018501758575
GATA2	KDR	0.008631736040115356
CCND1	HMGA1	0.008631259202957153
LIN28A	SOX13	0.008630583994090557
FOXK1	IRF1	0.008630577474832535
HAND1	SNAI1	0.008625217713415623
SLA2	ZNF471	0.008624795824289322
FUS	SPIB	0.008623779751360416
GRHL2	PROM1	0.008621756918728352
RBMX	SRSF6	0.008620144799351692
CENPK	NDC80	0.008613161742687225
CTNNB1	RBMX	0.008609266020357609
SPIB	ZNF585B	0.008607200346887112
GRHL2	FZD5	0.008605320006608963
TAF1L	YAF2	0.0086049260571599
CTNNB1	STAT2	0.008604471571743488
GRHL2	POU5F1	0.008604438044130802
TBX3	ZEB2	0.008603543043136597
BMP4	LGR5	0.008602295070886612
SOX17	S1PR3	0.00859476625919342
NANOG	FZD5	0.008592691272497177
ALYREF	ANKRD1	0.008592079393565655
SPIB	ASB4	0.008591216057538986
RBBP4	ABCA1	0.008590681478381157
MSX1	CRABP2	0.008587326854467392
HNRNPD	TFAP2A	0.00858170073479414
UHRF1	DTL	0.008577669970691204
MCM4	GINS2	0.00857464037835598
SNAI2	CDH11	0.008569682016968727
NFE2L3	ITGA6	0.008565796539187431
PDGFA	GRHL2	0.008561089634895325
MDM4	SPIB	0.008560662157833576
SOX2	TCF7L1	0.008559640496969223
TAF1L	ASB4	0.008553039282560349
TAF1L	CIITA	0.008551669307053091
UHRF1	DNA2	0.00854753702878952
SOX4	POU3F1	0.008547275327146053
SOX2	SOX4	0.008540267124772072
JUND	ARID3A	0.008539405651390553
PITX2	CDH11	0.008539022877812386
SRSF6	SOX4	0.008535174652934073
HCFC1	LIN28A	0.008534486405551434
SNAI2	WNT5A	0.008531777188181877
NPM1	SSB	0.00852879788726568
TFAP2A	EPCAM	0.008523140102624893
FLI1	PLK2	0.008522120304405691
CTNNB1	DNMT3A	0.008516772650182247
SOX2	PDGFA	0.008516591042280197
POLR2G	EEF1A1	0.008515721186995506
GATA2	SNAI2	0.00851533003151417
GATA2	HOPX	0.00851372629404068
ID1	MSX1	0.008513507433235645
KHDRBS2	SFRP1	0.00851214025169611
HNRNPAB	POLR2A	0.008508390747010708
HNRNPK	ODC1	0.00850784685462713
APEX1	EEF1A1	0.008507312275469303
TBX3	LEF1	0.008506132289767265
PTMA	KHSRP	0.008503743447363377
PDGFA	ESRP1	0.008503122255206108
FOXK1	CRX	0.00850310456007719
HMGA1	ARID3A	0.00850119162350893
SNAI1	HAND1	0.008498162962496279
SIX6	HESX1	0.008490622974932194
LEF1	SNAI2	0.008490082807838917
TFAP2A	PROM1	0.008490005508065224
MCM4	MCM5	0.008489786647260189
STAT2	IRF1	0.008489352650940418
TFAP2A	POU5F1	0.008489067666232586
GATA2	GATA3	0.008488902822136879
TFAP2A	HNRNPK	0.008486984297633171
CHAF1A	MCM4	0.008486445061862469
SF1	ODC1	0.008480935357511044
SKIL	HIF1A	0.008467440493404865
CIITA	PPARA	0.008466179482638836
ASB4	IRF1	0.008465398102998734
TCF7L1	HESX1	0.008460113778710365
TAF1L	PPARA	0.008458298631012441
HOPX	LMO2	0.008454787544906141
TRIM28	ARID3A	0.008453588001430035
SP100	TLR7	0.008450929075479506
TBX3	CA2	0.008446093648672104
TBX3	SMAD6	0.008445275947451591
SOX2	NANOG	0.008440487086772919
PDGFA	DNMT3A	0.008435417897999287
POU5F1	ZFP42	0.008434928953647614
PTMA	SFPQ	0.00843434501439333
SPIB	VHL	0.00843142718076706
DNMT3A	CTNNB1	0.008429848589003086
BMP2	FOXF1	0.008429369889199734
SLA2	MAFF	0.008429365232586859
CHAF1A	DNMT1	0.008427189663052559
ZNF471	SLA2	0.008426432497799397
SOX4	STAT2	0.00842104759067297
HAND2	FN1	0.008419171907007694
HCFC1	HNRNPD	0.00841477606445551
YAF2	CIITA	0.008413747884333134
MSX1	DKK1	0.008412147872149944
HAND2	MLLT3	0.008411838673055172
POU5F1	PROM1	0.008407614193856716
SPIB	REL	0.008407445624470709
ALYREF	HIST1H1B	0.008407273329794407
ATRX	ZNF471	0.008405175060033798
TLR7	TAF1L	0.008404437452554703
SNRPD1	MYBL2	0.008403555490076542
TP53	ALYREF	0.008398841135203838
EOMES	PITX2	0.008397362194955349
TAF1L	ZNF471	0.008396869525313377
STAT2	CRX	0.008393801748752594
HAND1	LEF1	0.00838732160627842
SP100	CIITA	0.008386089466512203
YAF2	CRX	0.00838585663586855
MAFF	MLLT6	0.008385035209357737
ALYREF	PTMA	0.008377306163311005
POU5F1	GRHL2	0.008377103134989737
MCM3	MCM4	0.008375992998480797
ASB4	SLA2	0.008375120349228382
ID1	MYBL2	0.00837289821356535
GATA3	SMAD6	0.008369470946490766
SRC	HOXB6	0.008368400856852531
CBX3	SRSF3	0.008365225978195667
GATA2	CDH11	0.008363525383174421
SSB	SRSF3	0.00836195517331362
ZNF585B	RAX2	0.00836193561553955
TFAP2A	LEF1	0.00836047250777483
PTMA	BCLAF1	0.008357762359082699
SNAI1	FOXF1	0.008356679230928421
PA2G4	XRCC6	0.008353154174983501
UHRF1	MCM7	0.008345670998096466
SOX4	PRDM1	0.008340216241776943
SP100	MDM4	0.008337962441146374
HAND1	BAMBI	0.008337510749697685
NANOG	POLR3G	0.008335472084581852
SLA2	LMX1B	0.008333190344274044
HOPX	ACTC1	0.00833159126341343
SF1	CCND1	0.008330599404871464
FOXF1	BMP4	0.008328556083142756
E2F3	KHSRP	0.008326906710863112
GATA2	ZEB2	0.008324961178004742
MSX1	BMP2	0.008323810063302517
LMO2	HOPX	0.008323661983013153
SNRPD1	ID1	0.008320532739162445
SKIL	TP53	0.008318931795656681
PTMA	UBTF	0.008318421430885792
HCFC1	ARID3A	0.00831632502377033
RAX2	REL	0.008315320126712322
SLA2	TAF1L	0.008314942941069603
KHSRP	FUS	0.008314840495586395
STAT2	ZNF471	0.008314497768878937
SOX2	CTNNB1	0.00831330381333828
TP53	PDGFA	0.008310706354677677
FOXF1	PDGFRA	0.008310487493872644
