gene,LPS_6h_S73,LPS_4h_S67,LPS_1h_S79,LPS_4h_S61,LPS_6h_S91,LPS_1h_S46,LPS_2h_S77,LPS_1h_S95,LPS_6h_S56,LPS_4h_S47,LPS_2h_S70,LPS_1h_S4,LPS_4h_S79,LPS_6h_S67,LPS_6h_S60,LPS_6h_S46,LPS_1h_S65,LPS_2h_S43,LPS_4h_S31,LPS_6h_S83,LPS_1h_S57,LPS_2h_S31,LPS_4h_S84,LPS_2h_S10,LPS_4h_S93,LPS_2h_S68,LPS_6h_S19,LPS_2h_S79,LPS_6h_S72,LPS_6h_S69,LPS_2h_S67,LPS_6h_S78,LPS_1h_S81,LPS_4h_S91,LPS_2h_S50,LPS_4h_S11,LPS_2h_S3,LPS_6h_S54,LPS_1h_S84,LPS_2h_S61,LPS_6h_S47,LPS_4h_S44,LPS_6h_S79,LPS_4h_S12,LPS_6h_S52,LPS_4h_S8,LPS_6h_S36,LPS_2h_S36,LPS_4h_S39,LPS_2h_S30,LPS_4h_S88,LPS_2h_S74,LPS_6h_S32,LPS_1h_S69,LPS_6h_S82,LPS_1h_S68,LPS_6h_S33,LPS_6h_S31,LPS_1h_S54,LPS_6h_S92,LPS_2h_S96,LPS_4h_S90,LPS_2h_S55,LPS_2h_S47,LPS_2h_S90,LPS_4h_S15,LPS_2h_S24,LPS_2h_S48,LPS_2h_S20
LASS2,0.0040505129999999,1.275366,0.0,0.0,0.0426264,2.418066,0.2924652,0.8838351999999999,0.0,1.029763,0.0,3.936811,0.1966467999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2364407,0.0,0.3160555999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02491375,0.2751289,0.0,0.0,0.827952,0.0,0.0,0.05882174,0.0,0.103398,0.0,0.0,0.1061065,0.0,0.0,0.0,0.0,0.01037948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065915359999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAS5,5.204507871667009,0.6340924193486359,0.0,0.503330098568157,3.49526628039554,0.0,2.41729886837719,1.72397615126892,0.0,1.09176571520024,1.27233336855381,0.928433084808934,0.4622579014167899,0.0,0.0,0.0,0.0,0.0,0.0,0.0251822012104496,0.0,1.03721185166556,0.10908473533194,0.0,0.3515558084286649,0.0,0.0,3.587807775531,0.0,0.209695338555576,0.2226724162397449,0.0,0.0,0.0,3.42174990221784,0.284269293930448,0.0,0.0,0.0,0.0,1.0340229743663,0.0756266893626687,0.0,0.0,0.51833023818979,0.0261076196937139,0.103653814313822,0.0,0.0,0.0,0.0,0.0,0.0,0.0609219470357428,0.0,0.0195437208814839,0.0,0.0,0.0,0.0,0.0255907292858139,0.0,0.0,0.0,0.0,0.0178721099203235,0.0,0.0,0.0
EVI2A,0.01668533,0.830525,1.13878,0.1438816,0.05841051,0.0,0.0,0.0,0.01999743,0.3077969,0.03341751,0.0,0.2630215999999999,1.792755,0.9196628,0.05427801,0.0,0.0,0.0,0.0,0.0,0.0,0.1133339999999999,0.0,0.264797,0.2076291,0.6566518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09295808,0.8197029,0.0475638,0.6165581,2.730134,0.6151681999999999,0.0,0.0,0.01334881,0.1055825,0.0274947,0.3418469999999999,0.0,0.0,0.0,0.0,0.0,0.1012269,0.1061256,0.0,0.0,0.05474686,0.01418739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002487102
TCOF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002780855744332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558697021742855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347587079286965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALM2,3.7521793731727295,1.95029168474418,1.99620912805617,0.0458521029738257,0.0,3.92892342965469,1.92561378728954,8.97097234023749,3.90255602870047,0.36933791672959,0.6568659807135611,2.34414963464573,0.986400696251762,0.0770086208985935,0.0,2.5891947494434504,0.6533923719307839,0.0,1.27915566489405,0.0121158101682532,1.5659824996456295,0.0,0.4621564877345429,0.0759995948804591,0.619095157982705,0.7629586860634521,0.0,0.0,0.023955626688268,0.137713899917056,0.0,0.524643342872495,0.0842969498282309,0.0,0.0,0.284662086000621,1.3205606478761398,0.0584330876059626,0.7281868625509301,2.0121996921762,0.0,0.355724221283907,0.270230506837193,0.0646022108532337,0.128624442393071,0.016946374889427,0.330420018791881,1.11244164351201,0.0,0.0,0.0573244199947924,0.134203402394419,0.0783314567052525,0.0394106264712565,0.1553032487009649,0.0663192132385076,0.0339159167515855,0.0,0.0067091775803451,0.0122613537302288,0.033062310707415,0.0,0.0,0.0247749328698021,0.0,0.0,0.0,0.0,0.0
MT2,0.0,0.0,0.0,0.0,0.0,2.623866,0.0,0.0,0.0,0.0,0.0,2.012595,0.0,0.0,1.8846080000000005,0.0,0.0,1.126788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09492315,0.0,0.0,0.0,9.304612,3.179869,0.0,0.0,0.0,0.0,0.0,0.03858099,0.7992545999999999,0.0,0.0,0.0,0.0,0.04000407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02548242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2-EB1,2.69986745695806,2.15305124184393,3.88255389678923,0.0,0.0,0.0247241666123688,0.0097623654753481,1.02338090455982,3.64962858031653,2.73312135987818,3.68142281196782,0.0762457652007192,2.6988305849632,2.15699636047645,1.3629612205652402,0.154873461403635,0.0,0.0,2.67014141200533,5.63838988463794,1.91856032265405,0.545188681493934,1.31093086177006,3.70816906719172,1.9633627814831,1.11745224423759,1.09479448354353,0.0,0.0192298084055064,0.31058538074839,0.0,1.0375793929729,0.0,1.0512956982859,0.0,1.3586202008426398,2.19508827517602,3.02393570568143,3.65075023504417,0.7605742988168241,0.0,0.854310619439083,0.114102789149843,0.266102049876816,0.0938695491408792,0.587415862361385,0.0726014815109854,0.0,2.7486911100467903,0.419256270412176,0.0462854613164513,0.433976461068128,0.103445460746252,0.249653739706765,0.113513364722813,0.0713205459667009,0.0,0.0,0.0053856929277396,0.0579152943035539,0.276719521795658,0.039949546238944,0.0,0.0395697125348006,0.029302388713387,0.0093174540678158,0.0,0.007517953083843,0.0
CORO1A,0.0,0.0,1.6863240000000002,0.0,0.0,0.2619448,0.0,0.0,0.0,0.0,0.03096986,0.0,0.4549497,0.0,0.0,0.0,0.1935404,0.0,0.0,0.0,0.0,0.0,0.07960819,0.05807925,0.4246555999999999,0.06737205,0.0,0.0,0.0,0.0,0.8572084999999999,0.2201146,0.0,0.0,0.03161771,0.2448255999999999,0.0,0.04406424,0.0,0.4071946,0.0,0.07426511,0.0,0.07262389,0.0,0.1100945,0.0,0.0,0.0,0.4361218,0.0,0.03875901,0.07751703,0.02972762,0.0,0.0,0.0,0.0,0.0,0.0,0.02498579,0.0,0.0,0.0,0.0,0.008761098,0.0,0.0,0.003610188
SDF2,0.0,0.936933,0.0,0.0,0.0,0.0,0.0,1.255205,0.0,0.3554857999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4240402,0.0,0.0,0.0,0.1006465,0.0,0.0,0.0,0.0,0.0,0.0,0.1320104,0.0,0.2748001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01571859,0.4405648,0.01622934,0.08624127,0.0,0.0,0.0,0.0,0.0,0.02544338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01063252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IAH1,0.5852391,0.0,0.0,0.0,0.8625958,0.2552993,0.0,1.565978,0.0,0.0,0.0,1.714548,0.0,0.0,0.0,0.2516672,0.5945843000000001,0.1051138,0.0,0.0,1.871638,0.0,0.0,0.0,0.0,0.0,0.0,0.1848047,5.137573000000001,0.3425938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366195,0.0,0.0,0.0,0.0,0.0,0.0,0.5809864,0.0,0.0,0.0,0.0,0.0,0.0,3.598253,0.0,0.0,0.1051885,0.04461952,0.0,0.0,0.0,0.0,0.01476584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGALS9,3.136315,2.244344,0.0,1.135936,0.5775673000000001,0.0,1.69945,0.0,3.90051,2.025152,0.09735621,0.3710729,1.578287,0.0,0.0,2.385593,0.8237439000000001,0.0,1.108086,3.090824,0.0,0.08827622,0.6675348000000001,0.0,1.047593,0.1326362,2.4039580000000003,0.0,0.03849482,0.2158362,0.0,0.4368294,0.0,0.0,0.0,0.6123508000000001,0.0,0.09297188,0.0,0.0,0.0,0.2944292,0.0,0.1515565,0.4615498999999999,0.2978277,0.6041124,0.0,1.957203,0.0,0.09179684,0.0,0.06342854,0.0160203,0.1267643,0.02711098,0.02744271,0.0,0.0,1.48311,0.008978937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAS1,0.0,1.535756,1.18298,0.4659872,0.4144072,0.0,2.535171,0.6991195,3.011998,2.244809,0.01813195,1.16967,1.508046,0.5406034000000001,0.0,0.02934759,0.1157976,0.2315719999999999,1.817951,2.67091,0.8770751,1.385259,0.7680758000000001,0.0,1.273906,0.2237106999999999,0.2070688,0.0,0.05205503,0.2324092999999999,0.0,0.364859,0.03764633,0.7256994999999999,0.0,0.839932,0.719765,0.02575009,0.3644011,0.0,0.0,0.3714938,0.0,0.1635296,0.1678625,0.3337137,0.1177221,0.01533381,0.0,0.0,0.05095009,0.01538521,0.0,0.04305831,0.2328038,0.01477665,0.0,0.0,0.0,0.005364258,0.0,0.0,0.0,0.0,0.0081049119999999,0.01024313,0.01582307,0.0,0.002108811
KDM5A,0.001445676,0.0,0.2028917,0.01955832,0.0,0.0,0.0,0.2005304,0.0,0.0,0.0,0.0,0.0,0.008307092,0.0,0.0,0.2655132,0.008663984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07502327,0.2455558,0.0,0.007518604,0.0,0.0327688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06486657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03130753,0.0,0.0,0.03433078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02689623,0.0,0.0,0.001975571,0.0,0.0,0.0,0.0
SELK,3.953062,2.483242,1.4979,0.0,0.8969164000000001,1.902625,2.58807,0.0,0.009950458,1.928306,0.0,0.0,0.9142403,1.701489,0.0,0.0,1.252735,1.40075,0.0,0.0,0.0,0.3235242,0.6297724,0.0,0.6281631,0.1060178999999999,0.0,0.0,0.0,0.0,0.0,0.338852,0.0,1.486321,0.0,0.6995733000000001,0.0,0.0,0.8419686,0.6067649,0.0,0.171261,0.169324,0.03934643,0.292167,0.2447527,0.2078639,0.0,0.0,0.0,0.1340241,0.02102695,0.06344034,0.0,0.09551738,0.0,0.0,0.0,0.0,0.0,0.01336791,0.0,0.0,0.0,0.02202402,0.0,0.0,0.0,0.0
EIF4A1,2.371394,0.9420707,1.522741,0.0,1.971165,1.744275,0.6328553000000001,1.501788,0.01045129,0.4597579,0.151401,2.471457,0.0,0.04956216,0.0,0.476102,0.3131786,0.101011,0.0,0.334119,1.153343,0.1806051,0.08981339,0.0,0.1793702,1.277211,0.0,0.09091784,0.0,0.0,0.0,0.1890366,0.0,0.0,0.02690649,0.0,0.0,0.0,0.0,0.0,0.115713,0.0,0.09165964,0.0,0.0,0.0,0.0,0.02227156,0.0,0.0,0.0,0.0,0.01700006,0.01270115,0.0,0.0215130999999999,0.01093915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006015933,0.0
CKS1B,0.0,0.0,1.836444,0.07541257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1261039,1.523319,0.0,1.822054,2.46013,0.0,0.0,0.0,0.06091653,0.0,0.0,0.09456268,0.0,0.0,0.0,0.0,0.0,4.087414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08033127,0.0,0.0,0.0,0.0,0.0,0.05623972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0182767,0.0,0.0,0.0,0.0,0.0,2.709967,0.0,0.0
HCLS1,0.004048432,0.0,0.0,0.0,0.0,0.1734026,0.265533,0.0,0.0,0.0,0.0,1.822217,0.0,0.8791486,0.0,0.03951076,0.0,0.0,0.0,0.0,0.0,0.06517369,0.08315272,0.0,0.03489156,0.0,0.0,0.0,0.0,0.0,0.0,0.3318933,0.9184635,0.0,0.0,0.0,0.0,0.03464956,0.0,0.0,0.0,0.05879264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009977247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212230999999999,0.0,0.0
TNFAIP3,0.0437045,0.6070943,1.352935,0.5646793999999999,0.1138618999999999,0.02778665,0.003274867,0.8074678000000001,0.5796271,0.5651232,0.01122191,0.02591077,0.09388923,0.0,0.3688389,0.08847657,2.204629,1.467961,0.2578973,0.00163396,0.0,0.02022902,0.0386120999999999,0.0,0.0635605,0.02473155,0.0,0.07706547,0.0065410969999999,0.07570154,0.7676603,0.0,0.06900529,0.0,0.0,0.06281391,0.0,0.0,0.4378488,0.1600152,0.0,0.0936518,0.0,0.008883773,0.0,0.02306051,0.04968406,0.0,0.0,0.0,0.0,0.1453555,0.0,0.005383283,0.0,0.02273268,0.0,0.0,0.04511634,0.08065498,0.006050065,0.0,0.0,0.0,0.00502402,0.0,0.0,0.0,0.0
SNRNP25,0.0,0.0,1.722821,0.0,0.0,0.0,0.0,1.6836080000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.462345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7211701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIMM23,0.0,0.0,0.0,0.0,0.0,0.0,0.01283219,1.336488,1.384881,0.0,0.0,0.7071788,0.0,0.0,1.111582,0.2004839,0.2634255,2.745679,0.0,0.0,0.0,0.0,0.0742674,0.0,0.0,0.09278068,0.0,0.0,0.0251127999999999,0.395408,0.1543806,0.546093,3.361215,0.0,0.0,0.0,1.363397,0.06126465,0.0,0.0,0.0,0.0,0.0,0.0,0.1345646,0.0,0.09418988,0.0,0.0,0.5766408000000001,0.06000795,0.01831831,0.02788618,0.0,0.0,0.06949624,0.0,0.0,0.0,0.0,0.02319207,0.05189822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFB7,0.9916397,0.0,0.0,1.076697,2.916805,3.436522,0.0,2.242142,1.69545,0.0,1.178384,3.632272,0.6631352,0.0,0.0,0.0,0.5532518,2.733907,0.0,0.0,2.613968,0.0,0.0,0.0,0.0,4.332571,0.0,0.3246449,1.956771,0.0,0.3338705,0.0,0.0,0.0,0.0,0.09197119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1914534,0.0,3.22238,0.0,0.0,0.0,0.0,3.393674,0.1836161,0.0,0.0,0.08106799,0.0,0.0160801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMP22,0.004556482,0.3993834,0.0,0.0,0.04785744,0.484605,3.34387,1.538608,0.0,0.0,0.0,0.02150955,0.0,0.0,0.0,0.0,1.009933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.561511,0.0,0.0,0.0,2.127437,0.0,0.0,0.0,0.0,0.02595801,0.989997,0.0,0.5217729999999999,0.0,0.0,0.03330867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03861687,0.0,0.0,0.01319558,0.0,0.0,0.0,0.0,0.0614249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031898129999999
ENO1,0.0,1.199034,2.309509,2.103634,1.386533,4.055041,1.455691,2.957435,2.379701,1.368276,1.642659,0.182386,0.5908777,5.498147,2.226386,0.0,1.020487,0.0,3.5558030000000003e-14,0.0,3.337101,1.918094,0.3664064,0.02454111,0.8552536000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.2590183,0.0,0.0,0.05618261,0.4717492,2.6168790000000007e-12,0.04399718,1.468997,0.0,3.518698,0.2213775999999999,0.2578609,0.08629678,0.08823866,0.1977333999999999,0.4306832999999999,0.09713207,0.0,0.0,0.0,0.06953185,0.009163983,0.1463792,0.0,0.163076,0.05674067,0.9812407,0.1220091999999999,0.008259388,0.04448405,0.0,0.02981963,0.03342595,0.01242176,0.0,0.0,3.203427e-16,0.00323599
ELF2,0.00339292,0.3045699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01067978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01317955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS14,6.10817185741755,3.3303611339734704,2.97428661758914,6.03669779045763,5.635641640754581,2.95469520099697,4.70852072404908,4.11035672830396,4.7053643770885305,3.35453268049242,3.2815418739160003,1.5649145489675,3.50277915876642,4.61767188343997,3.4452970131464498,2.44981531976942,2.23404454446213,4.23791657609106,3.3223126573408504,3.61054426842775,3.3088959018962902,1.19244881689862,1.5395657827305,4.78415229283479,2.847927175580029,6.46286917691085,4.0573893558597005,0.529701000793812,5.36754028414818,1.45351515960493,2.48477833121517,1.94068639861258,0.0,2.8936548379385205,4.46361413907804,2.0491765544581,0.0,0.925715417840394,1.93761512645125,3.36625224948306,0.362322809544989,1.1231944767858,0.0,2.8789387612696897,1.25421111994742,0.870160871796021,1.06750415821673,0.206155354816855,0.0,0.0,0.32751334305175,0.1763555131035269,0.265321409895116,0.675760062375445,0.44710341618021,0.296530404109326,0.0717239833805122,0.0573042291769418,0.0142192161094255,0.0523268394734814,0.0696310159612028,0.0,0.0,0.0,0.0385929413664228,0.0,0.0,0.0,0.0
