Gene1,Gene2
CBFB,TCF19
CBFB,NEDD1
CBFB,RCSD1
CBFB,HYOU1
CBFB,ELMO2
CBFB,PSMG2
CBFB,PRELID3B
CBFB,GFM1
CBFB,SMARCA2
CBFB,WSB1
CBFB,CCNF
CBFB,JPT2
CBFB,REL
CBFB,PSME4
CBFB,SLCO4A1
CBFB,OTUD4
CBFB,RTEL1
CBFB,AGPS
CBFB,CKAP2L
CBFB,MRPL37
CBFB,SNRPB
CBFB,USP42
CBFB,GPD1L
CBFB,PPID
CBFB,CYFIP2
CBFB,LDHB
CBFB,TXNDC11
CBFB,MCM5
CBFB,PITPNC1
CBFB,NCAPG
CBFB,MYCN
CBFB,LACTB
CBFB,PIP4K2A
CBFB,LIG1
CBFB,TSC22D1
CBFB,GMCL1
CBFB,CAMK2D
CBFB,APLP2
CBFB,PA2G4
CBFB,B230219D22RIK
CBFB,IL21R
CBFB,CD44
CBFB,SLC30A5
CBFB,NAA50
CBFB,ZNRF2
CBFB,TNFRSF21
CBFB,DHFR
CBFB,ACOX1
CBFB,REXO2
CBFB,CD274
CBFB,GNG2
CBFB,ALDH18A1
CBFB,SPC25
CBFB,SLC39A6
CBFB,ELP2
CBFB,NDRG2
CBFB,VAV1
CBFB,RHOF
CBFB,HMGB2
CBFB,FAM189B
CBFB,ZBTB38
CBFB,BCAP29
CBFB,STT3B
CBFB,STT3A
CBFB,NUSAP1
CBFB,MKI67
CBFB,SDF2L1
CBFB,BUB1B
CBFB,IL27RA
CBFB,EML4
CBFB,TTLL12
CBFB,DLST
CBFB,RRM2
CBFB,NADK
CBFB,RELB
CBFB,GEMIN5
CBFB,NRROS
CBFB,SPCS3
CBFB,INTS8
CBFB,UBA7
CBFB,ADSL
CBFB,CTLA2A
CBFB,PRIM2
CBFB,POLR2B
CBFB,FRRS1
CBFB,BUB1
CBFB,MTO1
CBFB,CBX7
CBFB,STAG2
CBFB,USP10
CBFB,EEF1E1
CBFB,RETREG1
CBFB,DDX39
CBFB,PFKP
CBFB,LCP2
CBFB,IL6ST
CBFB,BTAF1
CBFB,TM7SF3
CBFB,TFG
CBFB,MYO1F
CBFB,PLEKHO2
CBFB,MLLT3
CBFB,CKAP2
CBFB,GABBR1
CBFB,ORC2
CBFB,ZFP53
CBFB,ITPR1
CBFB,LSP1
CBFB,ALDH9A1
CBFB,MTCH2
CBFB,ANXA2
CBFB,CDCA7
CBFB,SEC23IP
CBFB,NPLOC4
CBFB,RGS2
CBFB,DDX1
CBFB,RFC5
CBFB,TBC1D10C
CBFB,SLC25A46
CBFB,LMAN2L
CBFB,ZFP467
CBFB,TUBGCP3
CBFB,MTOR
CBFB,GMIP
CBFB,CSE1L
CBFB,RGS19
CBFB,NUDT19
CBFB,SLC16A1
CBFB,CDC20
CBFB,NEIL3
CBFB,ARID2
CBFB,CDC7
CBFB,SPC24
CBFB,PTPN7
CBFB,ACOX3
CBFB,RORA
CBFB,RPAP1
CBFB,ASF1B
CBFB,PLXDC2
CBFB,RPP40
CBFB,PPM1F
CBFB,WDR55
CBFB,RGS1
CBFB,PSAT1
CBFB,RAB37
CBFB,TMEM97
CBFB,ATP6AP2
CBFB,CD48
CBFB,BC005561
CBFB,OSTM1
CBFB,JARID2
CBFB,MYO5A
CBFB,UBE2C
CBFB,SYNJ1
CBFB,LRRC8B
CBFB,TRIM59
CBFB,TNFAIP2
CBFB,ABCG3
CBFB,SLC26A2
CBFB,INTS13
CBFB,GCLC
CBFB,TXNIP
CBFB,TOP2A
CBFB,SOAT1
CBFB,GALNS
CBFB,ABL1
CBFB,PHKB
CBFB,CPA3
CBFB,RAD51
CBFB,TMEM173
CBFB,PRC1
CBFB,MTR
CBFB,RACGAP1
CBFB,ARFGEF2
CBFB,YBX3
CBFB,PRPF4
CBFB,PSEN1
CBFB,BPIFC
CBFB,YBX1
CBFB,QARS
CBFB,NPTN
CBFB,TMEM50B
CBFB,PARVG
CBFB,SYTL1
CBFB,UTP4
CBFB,SLCO3A1
CBFB,DENND2D
CBFB,TMEM206
CBFB,SLC44A2
CBFB,SPPL2B
CBFB,CYBC1
CBFB,CFP
CBFB,CCDC137
CBFB,STRAP
CBFB,CTSO
CBFB,SNX30
CBFB,NUP88
CBFB,PCMTD2
CBFB,BTG2
CBFB,PREP
CBFB,CCL4
CBFB,PTPRS
CBFB,MSMO1
CBFB,METTL27
CBFB,GIMAP5
CBFB,EIF4ENIF1
CBFB,TCIRG1
CBFB,ATP10A
CBFB,GANAB
CBFB,RPS6KA5
CBFB,TIPIN
CBFB,IARS2
CBFB,KPNA1
CBFB,EDEM1
CBFB,G6PDX
CBFB,ERLIN1
CBFB,TBC1D9B
CBFB,E2F4
CBFB,ZMIZ1
CBFB,UBA2
CBFB,TBC1D5
CBFB,SERPINB6B
CBFB,PFKFB3
CBFB,GMNN
CBFB,LMO4
CBFB,H2-DMA
CBFB,SGPP1
CBFB,SGMS1
CBFB,CERS4
CBFB,MAML3
CBFB,EPSTI1
CBFB,KIF13A
CBFB,LTB
CBFB,PLXNC1
CBFB,ERCC8
CBFB,CAD
CBFB,CYC1
CBFB,PPP1R15A
CBFB,PARP8
CBFB,NDRG1
CBFB,SYK
CBFB,RIN3
CBFB,SORT1
CBFB,RPA1
CBFB,CNN3
CBFB,MPL
CBFB,MCM2
CBFB,ATAD1
CBFB,NMD3
CBFB,DOCK11
CBFB,MCOLN2
CBFB,CYB5R1
CBFB,MYB
CBFB,ACOT9
CBFB,EMID1
CBFB,ST6GALNAC4
CBFB,ANKRD44
CBFB,CCNB1
CBFB,KLF6
CBFB,FLOT2
CBFB,ATP11C
CBFB,GRIA3
CBFB,SFXN1
CBFB,MPO
CBFB,SLA
CBFB,METTL7A1
CBFB,HSPA1A
CBFB,KNSTRN
CBFB,GNG12
CBFB,MCM10
CBFB,CCDC50
CBFB,FLT3
CBFB,ADSSL1
CBFB,TMEM176A
CBFB,GFI1B
CBFB,EPAS1
CBFB,SALL2
CBFB,GIMAP6
CBFB,TYMS
CBFB,CCNB2
CBFB,TIMP2
CBFB,SLC28A2
CBFB,SMPD4
CBFB,ISYNA1
CBFB,HEXA
CBFB,TM6SF1
CBFB,STOM
CBFB,SOCS2
CBFB,GNS
CBFB,XPNPEP1
CBFB,HLF
CBFB,GBP7
CBFB,IKZF1
CBFB,JUN
CBFB,MAPKAPK3
CBFB,CLEC4E
CBFB,CLN5
CBFB,PTTG1IP
CBFB,MNS1
CBFB,UMPS
CBFB,SELENOP
CBFB,9530068E07RIK
CBFB,MTFR1
CBFB,NDE1
CBFB,GIMAP8
CBFB,GSR
CBFB,TRIB3
CBFB,BID
CBFB,FAM91A1
CBFB,TECPR1
CBFB,TBC1D2B
CBFB,GOLIM4
CBFB,S100A6
CBFB,NAMPT
CBFB,LAPTM4B
CBFB,ERGIC1
CBFB,USP11
CBFB,TNFRSF13C
CBFB,PUS7
CBFB,GIMAP1
CBFB,MFNG
CBFB,TRPS1
CBFB,UNC93B1
CBFB,CDC6
CBFB,ZFP945
CBFB,MICU1
CBFB,IARS
CBFB,HDGFL3
CBFB,CERS6
CBFB,TMX3
CBFB,GUSB
CBFB,TGTP2
CBFB,NFATC2
CBFB,AKNA
CBFB,SLC29A1
CBFB,MR1
CBFB,GLIPR2
CBFB,HELLS
CBFB,SLC37A1
CBFB,RPS6KA3
CBFB,FOXO1
CBFB,PHF10
CBFB,PRKCD
CBFB,SORL1
CBFB,SLFN2
CBFB,EGR1
CBFB,TAF12
CBFB,TMEM154
CBFB,MFSD14B
CBFB,CHRNB1
CBFB,MTMR1
CBFB,IDH3A
CBFB,FUT7
CBFB,EPB41L4B
CBFB,INPP5B
CBFB,IRF6
CBFB,PHF6
CBFB,SELL
CBFB,UBE2L6
CBFB,TRMT11
CBFB,NFAM1
CBFB,MBNL3
CBFB,PLSCR4
CBFB,MAP4K2
CBFB,HACD4
CBFB,TUBA4A
CBFB,FLNB
CBFB,FAM171A1
CBFB,ALAS1
CBFB,HMGB3
CBFB,GP9
CBFB,ITCH
CBFB,GCNT2
CBFB,IGFBP4
CBFB,KIF22
CBFB,CD82
CBFB,ARHGEF39
CBFB,PADI4
CBFB,CTTN
CBFB,SPIDR
CBFB,HID1
CBFB,DDX58
CBFB,KCNK5
CBFB,FUCA2
CBFB,FAM111A
CBFB,TSPAN2
CBFB,TRIM16
CBFB,APBB1
CBFB,ICAM1
CBFB,NUDT4
CBFB,ATP6AP1
CBFB,ZEB2
CBFB,HIF3A
CBFB,POLE
CBFB,OSBPL1A
CBFB,NUAK2
CBFB,IGTP
CBFB,SLC43A3
CBFB,ANGPT1
CBFB,ABCG2
CBFB,GPR160
CBFB,TK1
CBFB,CSGALNACT1
CBFB,CTSZ
CBFB,POLA2
CBFB,ARRDC4
CBFB,PIM2
CBFB,FCGR3
CBFB,EMB
CBFB,FGGY
CBFB,VAV3
CBFB,CSAD
CBFB,SCARB1
CBFB,PCLAF
CBFB,GK
CBFB,ADORA2A
CBFB,PAK1
CBFB,IRGM2
CBFB,LYN
CBFB,PEAR1
CBFB,CALCRL
CBFB,RUNX1T1
CBFB,PLA2G12A
CBFB,GBP2
CBFB,H1F0
CBFB,TCN2
CBFB,CDK6
CBFB,RASA4
CBFB,NKG7
CBFB,MYO1G
CBFB,ENPP5
CBFB,RTP4
CBFB,VIPR2
CBFB,PRPS2
CBFB,TYROBP
CBFB,CTLA2B
CBFB,RP2
CBFB,HAAO
CBFB,SIRPA
CBFB,IL17RA
CBFB,EBF1
CBFB,NAPSA
CBFB,MYL10
CBFB,CAND2
CBFB,SMPDL3A
CBFB,SSH3
CBFB,GGTA1
CBFB,MAN2A2
CBFB,PIK3IP1
CBFB,RNF122
CBFB,RAB44
CBFB,UBL4A
CBFB,PRKCQ
CBFB,MYC
CBFB,GEM
CBFB,APOE
CBFB,KIF17
CBFB,PRIM1
CBFB,XAF1
CBFB,IFI203
CBFB,FCER1G
CBFB,ABCB10
CBFB,NPDC1
CBFB,TENT5A
CBFB,EMILIN1
CBFB,SH3BGRL
CBFB,TOR3A
CBFB,VDR
CBFB,TMEM246
CBFB,THSD1
CBFB,DDX60
CBFB,B3GNT5
CBFB,ARL11
CBFB,CD53
CBFB,PTGR1
CBFB,NEURL3
CBFB,NAP1L3
CBFB,LGALS1
CBFB,SUSD3
CBFB,RARB
CBFB,SCARF1
CBFB,RASSF4
CBFB,TLE2
CBFB,CTSG
CBFB,TNIP3
CBFB,NUPR1
CBFB,MCPT8
CBFB,ENG
CBFB,CNRIP1
CBFB,SPI1
CBFB,ZFP36
CBFB,SH2D5
CBFB,PTGS1
CBFB,GNG11
CBFB,IFI30
CBFB,BDH2
CBFB,MEIS1
CBFB,IL12A
CBFB,HDAC11
CBFB,PECAM1
CBFB,MAGED2
CBFB,MC5R
CBFB,ZBTB16
CBFB,MYCT1
CBFB,PLEK
CBFB,CD9
CBFB,IRF8
CBFB,SVIP
CBFB,IFI209
CBFB,SHISA8
CBFB,ANXA1
CBFB,PNCK
CBFB,FLNA
CBFB,CSF2RB
CBFB,GRINA
CBX7,DOCK10
CBX7,OBSCN
CBX7,MECOM
CBX7,RUNX1T1
CBX7,SOX18
CBX7,HDGFL3
CBX7,SHISA8
CBX7,HSPA1A
CBX7,CDKN1C
CBX7,CREB5
CBX7,PRKCH
CBX7,MAML3
CBX7,PLXNC1
CBX7,CSGALNACT1
CBX7,SATB1
CBX7,EYA2
CBX7,FLT3
CBX7,SLCO3A1
CBX7,NAV1
CBX7,EFCC1
CBX7,NFIA
CBX7,TENT5A
CBX7,KCTD12
CBX7,ZFP467
CBX7,LYN
CBX7,VAV3
CBX7,PFKFB3
CBX7,BCL2
CBX7,H2-Q6
CBX7,TM6SF1
CBX7,PARP8
CBX7,ZBTB16
CBX7,TMEM229B
CBX7,COL4A2
CBX7,COL4A1
CBX7,ADORA2A
CBX7,EPB41L4B
CBX7,IGFBP4
CBX7,ATP10A
CBX7,CAMK2D
CBX7,IKZF1
CBX7,TRIM47
CBX7,RGCC
CBX7,TNFRSF21
CBX7,SGPP1
CBX7,NUAK2
CBX7,ZMIZ1
CBX7,TRPC6
CBX7,MYB
CBX7,ZEB2
CBX7,DHRS3
CBX7,RCSD1
CBX7,RORA
CBX7,EPAS1
CBX7,TSC22D3
CBX7,EBF1
CBX7,PIP4K2A
CBX7,MLLT3
CBX7,HLF
CBX7,RIN3
CBX7,SPNS2
CBX7,VIPR2
CBX7,JUN
CBX7,SLC22A3
CBX7,GRIA3
CBX7,REL
CBX7,OBSL1
CBX7,FAM102B
CBX7,NFATC2
CBX7,HDAC7
CBX7,RAB31
CBX7,GOLIM4
CBX7,SLC18A2
CBX7,ST8SIA4
CBX7,SIRPA
CBX7,SUSD3
CBX7,CYP4V3
CBX7,CDK6
CBX7,NDN
CBX7,PEAR1
CBX7,GALNT6
CBX7,ZHX1
CBX7,SMARCA2
CBX7,NDRG1
CBX7,PTPRE
CBX7,TEC
CBX7,NR3C2
CBX7,IRF8
CBX7,ANKRD44
CBX7,TGFBR1
CBX7,SALL2
CBX7,RARB
CBX7,GATM
CBX7,TIMP2
CBX7,VDR
CBX7,PLSCR4
CBX7,PRDM16
CBX7,TSPAN2
CBX7,GNG12
CBX7,ADSSL1
CBX7,PRKCQ
CBX7,SLCO4A1
CBX7,MFSD1
CBX7,RGS2
CBX7,CERK
CBX7,PKIB
CBX7,MCOLN2
CBX7,GEM
CBX7,LPCAT2
CBX7,ACSS1
CBX7,CD44
CBX7,RAB38
CBX7,TNFAIP2
CBX7,CDKN1A
CBX7,TXNIP
CBX7,ANGPT1
CBX7,CD82
CBX7,GUCY1A1
CBX7,MEIS1
CBX7,OTULINL
CBX7,CDCA7
CBX7,PLPPR3
CBX7,D1ERTD622E
CBX7,ANXA5
CBX7,MAPK12
CBX7,ARID5A
CBX7,SH2D5
CBX7,HASPIN
CBX7,PRKCD
CBX7,ANXA2
CBX7,CD34
CBX7,FSTL1
CBX7,B3GNT5
CBX7,CERS6
CBX7,F2R
CBX7,ZFP422
CBX7,SDC4
CBX7,AFAP1L1
CBX7,UPP1
CBX7,PBX1
CBX7,TNFRSF13C
CBX7,HDAC2
CBX7,MYC
CBX7,SGMS1
CBX7,PTGS1
CBX7,PLXDC2
CBX7,SMPDL3A
CBX7,CLTC
CBX7,TLE2
CBX7,TMEM37
CBX7,MBNL3
CBX7,GATA2
CBX7,THSD1
CBX7,RASSF4
CBX7,TES
CBX7,FGL2
CBX7,KRT18
CBX7,HJURP
CBX7,PANX1
CBX7,GGTA1
CBX7,IL17RA
CBX7,MLKL
CBX7,FLNB
CBX7,SLC43A3
CBX7,GRK3
CBX7,SORL1
CBX7,E2F8
CBX7,ADA
CBX7,NRROS
CBX7,HSPA4
CBX7,FEM1A
CBX7,UNC93B1
CBX7,NCEH1
CBX7,CD63
CBX7,ABCE1
CBX7,TMEM246
CBX7,DENND2D
CBX7,EMID1
CBX7,VSIR
CBX7,FAM171A1
CBX7,RETREG1
CBX7,LDHB
CBX7,HMGB3
CBX7,PLAG1
CBX7,ERLIN1
CBX7,TRPS1
CBX7,JAM3
CBX7,EIF2B1
CBX7,NCAPG2
CBX7,GLIPR2
CBX7,9430015G10RIK
CBX7,PRPS2
CBX7,TBC1D5
CBX7,PPM1F
CBX7,RRM1
CBX7,LRRC59
CBX7,APBB1
CBX7,SYK
CBX7,SPPL2B
CBX7,GMFB
CBX7,GBP7
CBX7,PPP1CB
CBX7,WDHD1
CBX7,STXBP4
CBX7,SARAF
CBX7,DOCK11
CBX7,MGAT5
CBX7,MDN1
CBX7,SLC20A1
CBX7,XRCC6
CBX7,IFRD2
CBX7,IRF6
CBX7,CHRNB1
CBX7,CDK18
CBX7,PRC1
CBX7,LRRC8B
CBX7,GPD1L
CBX7,RORC
CBX7,NEDD1
CBX7,TUBA4A
CBX7,EGR1
CBX7,RNF122
CBX7,NUF2
CBX7,DDX60
CBX7,CLN5
CBX7,ZFP53
CBX7,NFAT5
CBX7,UBA2
CBX7,RASA4
CBX7,ALAS1
CBX7,GMCL1
CBX7,PFKP
CBX7,SLC19A1
CBX7,PTDSS1
CBX7,SERP1
CBX7,AKAP8L
CBX7,SDF2L1
CBX7,PRELID3B
CBX7,B230219D22RIK
CBX7,YPEL3
CBX7,STOM
CBX7,GNL3
CBX7,EPRS
CBX7,WSB1
CBX7,H1F0
CBX7,DUS1L
CBX7,CTSL
CBX7,TPM4
CBX7,CENPK
CBX7,TOPORS
CBX7,HID1
CBX7,SNAP23
CBX7,DNAJC5
CBX7,ME2
CBX7,HERPUD1
CBX7,NDC80
CBX7,DLST
CBX7,RPA1
CBX7,RNF4
CBX7,STRAP
CBX7,ARL8B
CBX7,NDRG2
CBX7,ELF1
CBX7,ATAD2
CBX7,SLC30A5
CBX7,RAB37
CBX7,PTTG1IP
CBX7,CAD
CBX7,ARRDC4
CBX7,PREP
CBX7,POLD1
CBX7,IARS
CBX7,DPP8
CBX7,TXNDC11
CBX7,TFRC
CBX7,PCMTD2
CBX7,NUSAP1
CBX7,TMX4
CBX7,OSBPL8
CBX7,TMEM97
CBX7,TIMM50
CBX7,RPS6KA5
CBX7,ZFP24
CBX7,XPC
CBX7,TIPIN
CBX7,SZT2
CBX7,KIF17
CBX7,JPT1
CBX7,PNCK
CBX7,FES
CBX7,SIGLECG
CBX7,PROCR
CBX7,NOLC1
CBX7,ZFAND5
CBX7,CENPF
CBX7,CDCA3
CBX7,H2AFX
CBX7,AHCYL1
CBX7,SEH1L
CBX7,PRMT5
CBX7,GARS
CBX7,ELAC2
CBX7,DUSP1
CBX7,FDFT1
CBX7,DNAJC11
CBX7,COQ8A
CBX7,CIPC
CBX7,PRMT7
CBX7,MSMO1
CBX7,MARS
CBX7,FCHO2
CBX7,CSE1L
CBX7,WDR43
EBF1,PPM1F
EBF1,MORC3
EBF1,POLD1
EBF1,GFI1B
EBF1,DHRS3
EBF1,SDC4
EBF1,IL27RA
EBF1,FIGNL1
EBF1,CDT1
EBF1,EZR
EBF1,DHX33
EBF1,VSIR
EBF1,SHISA5
EBF1,F2R
EBF1,MAPK1
EBF1,CKAP2L
EBF1,TRIM16
EBF1,ADORA2A
EBF1,IL17RA
EBF1,IL6ST
EBF1,APBB1
EBF1,CBX5
EBF1,NFE2
EBF1,RHOF
EBF1,TFR2
EBF1,RASSF4
EBF1,FAM111A
EBF1,PIK3R2
EBF1,WDHD1
EBF1,PPP1CB
EBF1,PKIB
EBF1,ZDHHC13
EBF1,CD69
EBF1,GLIPR2
EBF1,NAPSA
EBF1,ACLY
EBF1,PFKFB3
EBF1,SLC30A5
EBF1,TK1
EBF1,AURKB
EBF1,OSBPL1A
EBF1,JPT2
EBF1,FARSB
EBF1,IFITM1
EBF1,OASL2
